,precision,recall,f1,preds,labels
0,68.91900000000001,60.66400000000001,63.90100000000001,"model: flan-t5-large
learning_rate: 3e-05
num_train_epochs: 20.0
weight_decay: 0.001
per_device_train_batch_size: 1
gradient_accumulation_steps: 16",
1,100.0,100.0,100.0,"['None,', '', '', '', '', '', '', '', '', '', '']","['None', 'Local artists, customized Carmel sportswear, greeting cards, anniversary gifts', 'ponchos', 'dock area, paddle cruise', 'None', 'lounge area, symbolism, custom associations', 'table and floor games, Jenga, big Connect 4, sand, beach umbrellas, beach volleyball, badminton', 'None', 'trivia night, fireworks', 'section, professional babysitting service, different size diapers', 'water, manatee']"
2,45.45,22.73,30.3,"['None', 'None', 'None,', 'None,', 'None', 'None', 'None', 'None', 'None,', 'None', 'None,']","['None', 'best sounding band, female vocalist', 'karaoke venue', 'Arizona Greyhound Rescue event, hounds', 'None', 'river walk', 'None', 'None', 'Wifi, Live bands, book exchange area, community scarf/blanket project', 'Sunbathers, shore, kite surfers, jet powered surfboard surfers, dolphin spotting, overhang, open air beach view', 'None']"
3,54.55,50.0,52.17,"['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']","['None', 'mini trampoline', 'on site medium, Their apothecary area', 'None', 'None', 'None', 'free calendar', 'their nightclub', 'None', 'None', 'parakeet paradise']"
4,87.5,77.78,82.35,"['None', 'balloon puppets, animals', 'Philly Community Acupuncture', 'None', 'None', 'Stray Cat Alliance', 'board games, trivia Pursuit, stage area, small concerts', 'photo booth, Penns Landing fireworks', 'video', 'None', 'None']","['None', 'balloon puppets, animals', 'Philly Community Acupuncture', 'None', 'None', 'entrance fee, adoption, Stray Cat Alliance', 'board games, trivia Pursuit, small concerts', 'dance floors, photo booth, Penns Landing fireworks', 'video', 'None', 'None']"
5,70.0,51.85,59.57,"['hypnosis show, drag show, karaoke night, QuizO', 'paper studio, gift tags, candles, lip balms', 'None', 'cocktail', 'watercolors of Philly area, local artist, paintings', 'canoeing, kayaking', 'Derek St. Holmes, rythm guitar, Ted Nugent', 'audiobook teaching Italian', 'None', 'polaroid', 'guidebook of Italy tourist spots, guidebook of Italy tourist spots,']","['events, hypnosis show, drag show, karaoke night, QuizO, entertainment', 'paper studio, journals, gift tags, their candles, lip balms, local charity', 'Nice playroom', 'None', 'candy machine, watercolors, local artist, paintings', 'canoeing, kayaking, sunny fish', 'Derek St. Holmes, blues', 'audiobook', 'None', 'polaroid', 'guidebook']"
6,59.09,46.43,52.0,"['None', 'free wifi, ample parking', 'boaters, dock, pet, parakeet', 'None', 'long line, long line, Disney', ""Sparkman's Warf, virtual golf, zombie dodgeball"", 'bahn mi sandwiches', 'pokestops', 'None', 'Bollywood movies, henna tattoo artist, fortune teller', ""local wildlife, local wildlife, satellite, farmer's market""]","['None', 'free wifi, gardener, coffee grounds, compost', 'water, boaters, dock, your pets', 'None', 'None', ""Sparkman's Warf, virtual golf, games, zombie dodgeball, Channelside"", 'None', 'pokestops, cemetery', 'None', 'Bollywood movies, henna tattoo artist, fortune teller', 'local wildlife, anarchists, hackers, organic gardeners, activists']"
7,70.59,58.54,64.0,"['free comic', 'DDD on Food Network, fusion of styles, Indianapolis State Fair, Indianapolis State Fair,', 'special event, Circus type thing, Carnival, real side show, other performances, live music', 'drive thru policies', 'None', 'Live music, lounge area, fishies, tank', 'huge area of plants for sale, cute indoor store, beautiful pots, candles, terra', 'huge cockroach, bug, infestation problems', 'free wifi', 'garden room, red wine collection, cellar room, open kitchen', 'yoga, henna artist, tattoos']","['free comic', 'DDD, Food Network', 'special event, Circus, Carnival, baby alligator, anaconda, fire, glass, other performances, live music, really good events', 'None', 'None', 'Live music, lounge area, fishies, tank', 'huge area, plants, cute indoor store, beautiful pots, candles, terrariums', 'None', 'free wifi, ping pong, shuffleboard, music venue', 'tour, estate, garden room, tour, red wine collection, cellar room, extensive collection, wine bottles, adjacent garden, open kitchen', 'yoga, henna artist']"
8,70.59,54.55,61.54,"['small mimosas', 'great therapeutic sketching', 'Good Burger Car, souvenir T-shirts, hats, ""HI AF"" shirt', 'Mug Club Membership', 'amazing tour de bier, history lesson', 'garden, art, gift shop', 'beautiful garden, hummingbirds, songbirds', 'stand-up comic, Liquid Laughs', 'Indy 500 photos, collectibles', 'None', 'health and safety basics']","['None', 'great therapeutic sketching', 'Good Burger Car, souvenir T-shirts, hats,""HI AF"" shirt', 'None', 'amazing tour de bier, history lesson', 'garden, art, gift shop, cute wallet, shawl, necklace', 'beautiful garden, hummingbirds, songbirds', 'stand-up comic', 'Indy 500 photos and collectibles, mini museum', 'None', 'None']"
9,55.56,71.43,62.5,"['used books, Basics of Mechanical Engineering, A Guide on Planetary Leadership, internet', 'his own skating company, awesome skateboard deck', 'wall of polaroids', 'kids price, kids price, kids', 'bookstore/gift shop, lobster roll, slaw', 'None', 'None', 'gators, pond/bayous partition, airboat ride', 'life size beer pong, pool table, arcade games', 'outreach program, meal sponsorship program, at-risk youth', 'None']","['used books, Basics of Mechanical Engineering, A Guide on Planetary Leadership, internet', 'his own skating company, awesome skateboard deck', 'None', 'None', 'bookstore/gift shop', 'None', 'None', 'gators, airboat ride', 'life size beer pong, pool table, arcade games, nfl blitz 99, madden 15', 'outreach program, meal sponsorship program', 'None']"
