,review,true_nc,true_oc,true_nc_oc,true_nc_reasoning,reasoning
0,"The menu is simple and yet fill with tasty foods. You can order the bab either cold or hot. I specifically love my foods served hot, taste better. I recommend the wings they have there. Very good! If you're unsure how to eat or order, there is a video to tutor you how to. I like its simplicity.",video,None,video,None,None
1,"I visited Prep & Pastry for the first time this year, and I've been about one or three times, give or take. I have to say, I was never really interested whenever I looked at this place because the food was not intriguing to look at. Nevertheless, I decided to give it a go. I can't say I was pleasantly surprised but I also can't say I was disappointed. Some items were a hit, somewhat, and some items were a miss, somewhat. From memory, I had: biscuits & gravy, the dip, classic (french toast but pancake), a dole doughsant, and the brunch punch cocktail.Getting into it-Interior/Exterior: The inside is so cutely decorated! Getting to the location is a bit rough and the parking kind of sucks but you win some you lose some. 4/5Ambiance: It is always busy here! I am not complaining, despite the fact it's always buzzing with people, it never takes too long to be seated. 5/5Food: Given the price of these items, I would expect a liiiittle more seasoning. I found some of the food a bit bland, don't get me wrong, still palatable but for $14 I would've expected some more of a kick out of the dip. I ordered the classic french toast at one point but they were out and so they offered me a pancake instead. My fault, I'm not really keen on pancakes but they were alright, nonetheless. I didn't finish them though. Their pastries are amazing, no complaints! The alcohol will kick you while you're down, which I appreciate. I've personally had better biscuits and gravy and probably would not order again. 3.5/5Price: A bit overpriced, in my opinion. Maybe it's to add to the vibe but you can easily rack up a bill here for a handful of dishes and a coffee. 3/5Customer Service: All the waiters, hosts, etc are so nice! 5/5Overall: A decent place to visit with just about anyone, but nothing particularly groundbreaking. 4/5disclaimer: these are delayed reviews.",None,None,None,None,None
2,"Classic West Philly spot where you can see local wildlife. Everyone from moms to anarchists to hackers to organic gardeners to activists hangs out there. The coffee is excellent, the baked goods are great as well, and if you're working on something, you might run into a possible collaborator there.If you're thinking of moving to West Philly, definitely check out Satellite and the farmer's market.UPDATE (2/24/2013):They've replaced the cracked and chipped cups with new cups, which are awesome. They also got rid of the vegan chicken salad wrap, which was genuinely awful. Everything's looking better, but still feels like home! =)Old Review:There are some downsides to Satellite, but none that really keep us away. For one, every cup is chipped. Every. Single. Cup. I always get my coffee ""to go"" even if I plan to stay there to avoid drinking out of the cups. Avoid the ""vegan chicken salad wrap"" at all costs. Technically, it's edible. But it's really terrible, and not even close to actual chicken.The bathroom used to be gross, but now is looking a lot better. There's black chalkboard paint on the walls, which is probably for the best.The service varies widely, but has been improving lately. There's one guy who works there who is just really cold to patrons. Some servers are rude and some are really lovely. But I almost never came back after my first time there because of bad service.","local wildlife, anarchists, hackers, organic gardeners, activists",None,"local wildlife, anarchists, hackers, organic gardeners, activists",None,None
3,"Came here with my husband on our honeymoon this past week as a celebratory meal. We had seen that this was probably the fanciest place in New Orleans so we had to try it. Definitely make sure to make a reservation. First off, this place is HUGE. Literally we walked through like 5 rooms to get to our table. It was crazy. There are a few options on the menu. You can do the tasting menu, a 3 course meal, or a la carte. We both chose to go with the 3 course meal. I got a shrimp dish and my husband got the quail. For dessert I opted for the souffle. I have to say the food was pretty good. It wasn't the best food I've ever had though for that price, but it was good nonetheless. Most notable was the souffle. It was AMAZING. Worth the extra $3 for it. I was so mad that I couldn't finish it because I was way too full. Overall, this was a good choice for a special occasion. The service is great and the atmosphere is definitely fancy. The managers also make sure to personally come by to congratulate you and thank you for eating at the restaurant which I thought was a good touch. I personally just felt a tad bit out of place here. We were definitely the only minorities at this restaurant and we definitely stood out, but it's fine.Tip: There are a ton of pokestops around here since it's right across from the cemetery. It's also a pokestop by itself too. So get your pokeballs and catch them pokemon!","pokestops, cemetery",None,"pokestops, cemetery",None,None
4,"Coming to New Orleans and not eating at Commander's Palace is like going to Paris and not visiting the Louvre. It's not just a meal but a memorable experience. WHAT WE ORDERED: the 3 course coolinary dinner, consisting of a 3 sample soup (turtle soup, gumbo du jour, and chef's seasonal soup), the black skillet seared gulf fish and the creole bread pudding souffle. We also ordered the pecan-crusted gulf fish and a glass of von hovel white wine.Out of the soups, the gumbo du jour was our favorite. The pecan-crusted gulf fish was divine. The creamy crushed-corn sauce that came with it wonderfully complimented the crunchiness of the pecan crust. The seared gulf fish was also complimented by a great, spicy, smoked tomato vinaigrette sauce. The bread pudding souffle was the most unique. It was topped with a bourbon sauce that added an extra level of sophistication to this traditional dessert.After our meal, our waiter, Todd, was kind enough to give us a tour of the estate, a perfect way to cap a perfect meal. Thanks to him we learned about the history of the restaurant as well as the craftsmanship that went into making every one of its dining rooms feel like a different setting altogether. The garden room has floor-to-ceiling panes of glass that overlook the patio, while the main dining room downstairs has hand-carved wooden replicas of the native birds of Louisiana as well as electric chandeliers, each worth $10,000, with lights that flicker and move as if they were candle flames. Todd also gave us a tour of the red wine collection, and the cellar room that can host a private party surrounded by their extensive collection of wine bottles. One of the cellar rooms is kept locked at all times because the wine bottles in there are so old that they shouldn't be moved, and obviously expensive ($6000 / per bottle). We also got to see the adjacent garden, belonging to the house where Ella Brennan still resides, and which is tended to by a full-time gardener. Needless to say, the service was excellent. Todd really gave us a new appreciation for the restaurant and made us feel as if we were family.Another lovely detail about our meal was that all of the ingredients for the pecan-crusted gulf fish came within a 50-mile radius, while most of the ingredients that make up the dishes on the menu come within a 100-mile radius. The open kitchen, which guests are welcome to walk through, features a list of the local ingredients used in the meals. TIP: For an excellent briefing on commander's palace, ask for Todd as your waiter! For the most scenic seating, ask for a table overlooking the patio in the upstairs garden room.","tour, estate, garden room, tour, red wine collection, cellar room, extensive collection, wine bottles, adjacent garden, open kitchen",None,"tour, estate, garden room, tour, red wine collection, cellar room, extensive collection, wine bottles, adjacent garden, open kitchen",None,None
5,"The lime green counter, shiny plastic furniture, and stained concrete floors at the Fat Straw fit right in with and outdo the futuristic style of bubble tea cafes I've been to in other cities. The wall of polaroids of customers does a nice job balancing out all the geometric shapes and synthetic materials, and keeps the Fat Straw from feeling sterile. I would expect the high-end look of the Fat Straw, along with its prime location at Edgehill Village, to mean that the prices would be higher than the usual bubble tea hole in the wall, but they're actually pretty standard ($3.50 for a 16oz bubble tea). Along with the usual flavors, some more interesting possibilities that caught my eye were red bean, honeydew, lychee, pomegranate, ginger, elvis (banana + peanut butter), and sesame. The only drawbacks to the Fat Straw that I can see are the small size of the cafe (it would feel crowded with any more than 15 customers inside) and their cash only policy.",None,"lime green counter, shiny plastic furniture, stained concrete floors, polaroids, geometric shapes, synthetic materials, high-end look","lime green counter, shiny plastic furniture, stained concrete floors, polaroids, geometric shapes, synthetic materials, high-end look","* Restaurants typically focus on providing food such as dinner, beverages, good service and management including payment policies. Restaurants also focus on providing unique decor and ambience.","* Restaurants typically focus on providing food such as dinner, beverages, good service and management including payment policies. Restaurants also focus on providing unique decor and ambience."
6,"Friends of ours recommended this new restaurant that is right next to the Charcoal Pit on 202. They said they really enjoyed their meal, so we decided to give this place a chance last Saturday. We went in for a late lunch/ early dinner around 4:45pm. There was only one other table in there, so we had the place to ourselves. This gave us a chance to walk around and check things out. The dcor is different for an Italian place. There are no paintings of Venice on the walls, thank god! Each table has a guidebook of Italy tourist spots, so you can check things out while you browse the menu. Our waitress was very welcoming and gave her recommendations. The menu is very simple, nothing fancy. We started with the fried calamari. It was very good, not chewy at all. My only complaint was that it was served on top of the marinara sauce. This caused the breading to become soggy. Ask for it on the side. For entrees we had the chicken parm and penne alla vodka. The rigatoni and penne pasta is made fresh in house. The vodka sauce was somewhat different than what I am used to. It was a lighter cream color, and didn't seem to have any prosciutto in it. Either way it was excellent. The dish also came with 3 breaded chicken cutlets. The pieces of chicken were off to the side sitting on top of their house marinara sauce. It was a little odd, having the two sauces on one plate, but the chicken was really good, so I'm not complaining. The chicken parm was basically the same cutlets I had, only bigger, with parm cheese on it. The house red sauce was good. We didn't get dessert, as the entrees are very large here. You will more than likely be taking some of it home. Our bill, including two glasses of wine ($8 each) was only $54. The prices are very fair. Hands down the best Italian on 202. I will definitely return.",guidebook,no paintings,"guidebook, no paintings",None,None
7,"This is a review of a family Thanksgiving dinner - conceived and cooked at Charro Steak. Then heated and enjoyed at home surrounded by our small family on this out of sorts Thanksgiving. The meal was wonderful. 5 stars. More if they had the option. Everything was wonderfully prepared and thoughtfully packaged with detailed, fool-proof instructions. The bird was moist, tasty, and gorgeous. The elotes and stuffing, in a coop with Barrio Bread, were delicious. The buttery smooth green Chile mashed potatoes were a hit!  And the gravy - oh the gravy was heaven.   Si Charro always impresses. And this was no exception.  You could tell the food was prepared with love. All their restaurants have taken great care and invested a lot of money to stay rolling. Whether you're looking for some great takeout or you're comfortable eating in a restaurant, this restaurant group deserves your business. They have certainly earned it!",None,None,None,"* Restaurants typically focus on providing good service, any type of food, beverages, take-out order service. Restaurants also focus on providing ambience.","* Restaurants typically focus on providing good service, any type of food, beverages, take-out order service. Restaurants also focus on providing ambience."
8,"Amazing place. Very clean, great service & good food. Great fish tacos & carné asada tacos. Can't wait to come back on TACO TUESDAY & have $1.50 tacos! Also looking forward to trying the chili rellenos.",None,None,None,None,None
9,"I met my Meetup group there for lunch, this was my first visit here. Beautiful establishment, classy and stately.My order consisted of 2 appetizers and dessert: 1 pound of clams in a brothy-creamy sauce, grilled artichokes and the bread pudding. Clams were great, artichokes were the best I have ever had. Probably lightly steamed, then brushed with oil and grilled! Wowzer, that the chokes elevated to nirvana-like level Bread pudding was good and best described as a prelude to fall served in a cast iron skillet.Prompt and friendly service. It was enjoyable to walk the long hallway in the building leading to the garden, and take in the numerous piece of art lining the walls.We took a glimpse at their larger dining room all set up for high tea. I plan on going there and experience it on a cold, snowy day this winter.We also visited the gift shop and found that the price point of most of their items was very reasonable. I purchase a cute wallet, a shawl and a necklace!!What a fun and productive experience!","garden, art, gift shop, cute wallet, shawl, necklace",None,"garden, gift shop, cute wallet, shawl, necklace, art","* Restaurants are typically located in plazas and food courts along side other restaurants. However, restaurants are not typically located in close proximity to a garden connected by a long hallway in the building filled with art lining the walls. Therefore, I think that the restaurant having a garden is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food such as clams in a brothy-creamy sauce, grilled artichokes, and bread pudding. Restaurants also focus on providing beverages, service, and ambiences such as a beautiful establishment. However, restaurants do not typically have small stores such as a gift shop. Therefore, I think that the restaurant having a gift shop is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food such as clams in a brothy-creamy sauce, grilled artichokes, and bread pudding. Restaurants also focus on providing beverages, service, and ambiences such as a beautiful establishment. However, restaurants do not typically provide gift items for purchase such as a cute wallet. Therefore, I think that the restaurant providing a cute wallet is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food such as clams in a brothy-creamy sauce, grilled artichokes, and bread pudding. Restaurants also focus on providing beverages, service, and ambiences such as a beautiful establishment. However, restaurants do not typically provide gift items for purchase such as a shawl. Therefore, I think that the restaurant providing a shawl is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food such as clams in a brothy-creamy sauce, grilled artichokes, and bread pudding. Restaurants also focus on providing beverages, service, and ambiences such as a beautiful establishment. However, restaurants do not typically provide gift items for purchase such as a necklace. Therefore, I think that the restaurant providing a necklace is an atypical aspect of this restaurant.","* Restaurants are typically located in plazas and food courts along side other restaurants. However, restaurants are not typically located in close proximity to a garden connected by a long hallway in the building filled with art lining the walls. Therefore, I think that the restaurant having a garden is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food such as clams in a brothy-creamy sauce, grilled artichokes, and bread pudding. Restaurants also focus on providing beverages, service, and ambiences such as a beautiful establishment. However, restaurants do not typically have small stores such as a gift shop. Therefore, I think that the restaurant having a gift shop is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food such as clams in a brothy-creamy sauce, grilled artichokes, and bread pudding. Restaurants also focus on providing beverages, service, and ambiences such as a beautiful establishment. However, restaurants do not typically provide gift items for purchase such as a cute wallet. Therefore, I think that the restaurant providing a cute wallet is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food such as clams in a brothy-creamy sauce, grilled artichokes, and bread pudding. Restaurants also focus on providing beverages, service, and ambiences such as a beautiful establishment. However, restaurants do not typically provide gift items for purchase such as a shawl. Therefore, I think that the restaurant providing a shawl is an atypical aspect of this restaurant.
* Restaurants typically focus on providing food such as clams in a brothy-creamy sauce, grilled artichokes, and bread pudding. Restaurants also focus on providing beverages, service, and ambiences such as a beautiful establishment. However, restaurants do not typically provide gift items for purchase such as a necklace. Therefore, I think that the restaurant providing a necklace is an atypical aspect of this restaurant."
