,precision,recall,f1,preds,labels
0,1.6759999999999997,2.377,1.9549999999999996,"model: t5-small
learning_rate: 3e-05
num_train_epochs: 5.0
weight_decay: 0.001
per_device_train_batch_size: 1
gradient_accumulation_steps: 16",
1,0,0,0,"['and, and the wings have there. Very good! and the menu', ""I visited Prep & Pastry for the first time this year, and I've"", "", and they've replaced the cracked and chipped cups with new cups, which are"", ', but it was a good choice for a special occasion. The service is great', ', we ordered the pecan-crusted gulf fish and a glass of', 'the, and the, I can see the, and the small size of', ', and we had the chicken parm and penne alla vodka. The chicken', ',,,, and the gravy was heaven.,,', 'TACO TUESDAY & have $1.50 tacos!', 'the bread pudding. the bread pudding. the shop and found that the price point', 'and and we got a side of mayo. We were the ONLY guests inside']","['video', 'None', 'local wildlife, anarchists, hackers, organic gardeners, activists', 'pokestops, cemetery', 'tour, estate, garden room, tour, red wine collection, cellar room, extensive collection, wine bottles, adjacent garden, open kitchen', 'None', 'guidebook', 'None', 'None', 'garden, art, gift shop, cute wallet, shawl, necklace', 'None']"
2,4.55,5.26,4.88,"['I was skeptical of Macaroni Grill due to it being a chain and having a', 'was nice. The oysters were good and filling. Lots of different flavors there.', ""I was even encouraged to visit their 'petting zoo' in the back"", 'Upper deck is a watering hole in our local watering hole. The stand out', ', we got 20% off the entrance fee, which came out to $8 per person.', '...they did have real horseradish for the prime rib....nice bonus.The', 'a little Caribbean oasis in the middle of St. Louis city. The concept is great ', 'Besides the food, the staff is very courteous and polite. The cafe has a', ""I'm not much of a golfer but I did love that you can switch it"", 'Sol Luna is the ideal place to chill back. They have huge verity of hookah', ""I'm really conflicted about what to rate Urban Shabu. the menu items""]","['audiobook', 'None', 'petting zoo, rooster, goat, pigs, cutest little piglet', 'life size beer pong, pool table, arcade games, nfl blitz 99, madden 15', 'entrance fee, adoption, Stray Cat Alliance', 'Casinos, concert, AVA amphitheater', 'table and floor games, Jenga, big Connect 4, sand, beach umbrellas, beach volleyball, badminton', 'capoiera/zumba studio', ""Sparkman's Warf, virtual golf, games, zombie dodgeball, Channelside"", 'events, hypnosis show, drag show, karaoke night, QuizO, entertainment', 'None']"
3,2.33,4.35,3.03,"['I visited gluten free bakeries and cafes when in different cities, and stopped by New Deal', 'Vielleicht die besten burgers in Philly! Cannot beat Sketch for the amazing ', 'a beer tasting experience, and a beer tasting experience, all contained within the confines', 'thai iced tea in Philly is a very sweet place. It', 'I had 2 options for tamales. Chicken in green salsa and some other option. Ste', 'if you go for lunch or in early afternoon, the menu is really limited. the', 'I tried to like this place, but the chicken jerky that they tried pass off as', 'We shared a small mimosas (it was not small at all ). Left', 'Definitely a great place to go. Great playroom for the kids.', 'a bar. 4 ways to bet; scratch off lottery machine, keno,', 'YUM. The food was great both times. I had a mushroom cream soup at']","['None', 'great therapeutic sketching', 'amazing tour de bier, history lesson', 'None', 'DDD, Food Network', 'parklands, Goose Creek Park, playground', 'None', 'None', 'Nice playroom', 'scratch off lottery machine, keno, computer nascar style racing, computer football', 'huge area, plants, cute indoor store, beautiful pots, candles, terrariums']"
4,2.56,3.45,2.94,"['I think this is a great place if you like to go out for a night', 'We had a large group party, and we called ahead to make reservations. When we', ""I'm not satisfied or pleased with the seafood pan I ordered tonight its obvious Boil Sea"", 'YUCK! They have some nice beer selections too. I was impressed, as', 'Located in the heart of Saguaro East, the restaurant is a great place', 'Wir feiern New Years at the Hibachi Japanese Steak House and it was ', 'a great place to visit while in St. Louis - ""Good Burger Car!!""', 'OOPS! I wore sandals to dinner (Florida guy)......um', ""BG disappoints me. It's a great place to study but it tends"", ""DESSERTI love the way they do dessert. They're a great place to"", 'I am a teatime exclusive. I live in New Port Richey FL and frequent']","['their nightclub', 'None', 'None', 'special event, Circus, Carnival, baby alligator, anaconda, fire, glass, other performances, live music, really good events', 'beautiful garden, hummingbirds, songbirds', 'dance floors, photo booth, Penns Landing fireworks', 'Good Burger Car, souvenir T-shirts, hats,""HI AF"" shirt', 'None', 'used books, Basics of Mechanical Engineering, A Guide on Planetary Leadership, internet', 'None', 'None']"
5,7.32,10.71,8.7,"['ok. It was nice to sit along the water and see a manatee.', ""if you like beer...they've got gobs if it...go"", '... This is my favorite coffee place in Philly.', 'Guests can snorkel in the tank, but you need reservations, too.', ""I've been to the coffee shop for a while now and have a few friends"", ""I'm giving it 3 stars simply because I didn't sample the food there and was"", ""I've only had the bahn mi sandwiches here, but they are really good. They"", 'a lot of places make really good Vietnamese food, but this place is okay, thus my', 'a burger bar on Bourbon St...at 9pm. We were seated at', 'Wasabi2 has some of the best sushi/sashimi spots around. I think it', ""if you're looking for a leisurely dinner outside while enjoying the Florida atmosphere,""]","['water, manatee', 'trivia night, fireworks', 'free wifi, gardener, coffee grounds, compost', 'Live music, lounge area, fishies, tank', 'paper studio, journals, gift tags, their candles, lip balms, local charity', 'Derek St. Holmes, blues', 'None', 'None', 'None', 'free calendar', 'water, boaters, dock, your pets']"
6,0,0,0,"['Wir hatten a fabulous dinner tonight. My husband and I had the Grouper encru', 'I was in NOLA 5 days, treated eating like a job, and this was by', 'bruja, witch, warlock, or spiritual medium this is the tea house and coffee', 'I love this place! Food is always good never had a bad experience, the service is', 'I LOVE this Keva!!! I think I probably visit here at LEAST once a week', '- a great selection of rolls and includes appetizers (always a plus).', 'Besito has the yummiest Mexican food at a very reasonable price ', '', 'I was in town for a conference a half-day early and this was the perfect', '', '         ']","['river walk', 'outreach program, meal sponsorship program', 'on site medium, Their apothecary area', 'parakeet paradise', 'None', 'None', 'None', 'gators, airboat ride', 'yoga, henna artist', 'peacocks, long public dock', 'None']"
7,0,0,0,"['', '', '', '', '', '', '', '', '', '', '']","['None', 'None', 'None', 'mini trampoline', 'free wifi, ping pong, shuffleboard, music venue', 'free comic', 'None', 'lounge area, symbolism, custom associations', 'Sunbathers, shore, kite surfers, jet powered surfboard surfers, dolphin spotting, overhang, open air beach view', 'None', 'his own skating company, awesome skateboard deck']"
8,0,0,0,"['', '', '', '', '', '', '', '', '', '', '']","['Local artists, customized Carmel sportswear, greeting cards, anniversary gifts', 'None', 'ponchos', 'polaroid', 'bookstore/gift shop', 'their tour, 10 dollar fresh day tour, free tour, their museum, Clydesdales horses', 'None', 'None', 'None', 'candy machine, watercolors, local artist, paintings', 'board games, trivia Pursuit, small concerts']"
9,0,0,0,"['', '', '', '', '', '', '', '', '', '', '']","['stand-up comic', 'None', 'Philly Community Acupuncture', 'None', 'None', 'tips, hikes, activities, golf course', 'section, professional babysitting service, different size diapers', 'karaoke venue', 'canoeing, kayaking, sunny fish', 'None', 'Indy 500 photos and collectibles, mini museum']"
10,0,0,0,"['', '', '', '', '', '', '', '', '', '', '']","['balloon puppets, animals', 'lottery tickets/scratchers', 'best sounding band, female vocalist', 'dock area, paddle cruise', 'Bollywood movies, henna tattoo artist, fortune teller', 'None', 'Arizona Greyhound Rescue event, hounds', 'None', 'None', 'Wifi, Live bands, book exchange area, community scarf/blanket project', 'None']"
