,review,comments,true_strong,true_weak,true_other_strong,true_other_weak,true_strong_weak,true_all,abs_true_strong_alt,abs_true_weak_alt,abs_true_other_strong_alt,abs_true_other_weak_alt,abs_true_strong_weak_alt,abs_true_all_alt,instruction,label,formatted_output
0,"There are only good things to say about the Gaylord opryland. There is so much you can do here like shopping and swimming and even great food places. I stayed her ewith my school's music department and the staff was all so kind and generous to us. All the food here is amazing and trusted with both local places you can find anywhere like pizza hut or Starbucks, but also have new places. The gift shops here are helpful, they have merchandise ranging from guitar picks and sweatshirts and even magnets, while having tourist needs like portable chargers, waterbottles, and backpacks. At this place I found the cheapest cowboy hats that were 100% real. At the resorts pool they have all sorts of things to do for all ages like the ""flow rider."" This is a surfing simulation where the instructors make it a point to help you out. Not only that but they have adult areas, water slides, a lazy river, and even a playground for little kids. The food place here has food that you would want for a very small price, it's mainly small dishes like French fries or chips but it's all still food you would want. If your looking for a place to stay in Nashville I defenetly suggest the Gaylord opryland.",,"gift shops, guitar picks, sweatshirts, magnets, portable chargers, waterbottles, backpacks, cowboy hats, flow rider, water slides, lazy river, playground",,,,"gift shops, guitar picks, sweatshirts, magnets, portable chargers, waterbottles, backpacks, cowboy hats, flow rider, water slides, lazy river, playground","gift shops, guitar picks, sweatshirts, magnets, portable chargers, waterbottles, backpacks, cowboy hats, flow rider, water slides, lazy river, playground","The hotel has gift shops with merchandise ranging from guitar picks, sweatshirts, and even magnets while having tourist needs like portable chargers, waterbottles, backpacks, and cowboy hats.
They have ""flow rider"" which is a surfing simulation. They have water slides, a lazy river, and a playground for little kids.",,,,"The hotel has gift shops with merchandise ranging from guitar picks, sweatshirts, and even magnets while having tourist needs like portable chargers, waterbottles, backpacks, and cowboy hats.
They have ""flow rider"" which is a surfing simulation. They have water slides, a lazy river, and a playground for little kids.","The hotel has gift shops with merchandise ranging from guitar picks, sweatshirts, and even magnets while having tourist needs like portable chargers, waterbottles, backpacks, and cowboy hats.
They have ""flow rider"" which is a surfing simulation. They have water slides, a lazy river, and a playground for little kids.","Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas.","gift shops, guitar picks, sweatshirts, magnets, portable chargers, waterbottles, backpacks, cowboy hats, flow rider, water slides, lazy river, playground","question: Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas. context: There are only good things to say about the Gaylord opryland. There is so much you can do here like shopping and swimming and even great food places. I stayed her ewith my school's music department and the staff was all so kind and generous to us. All the food here is amazing and trusted with both local places you can find anywhere like pizza hut or Starbucks, but also have new places. The gift shops here are helpful, they have merchandise ranging from guitar picks and sweatshirts and even magnets, while having tourist needs like portable chargers, waterbottles, and backpacks. At this place I found the cheapest cowboy hats that were 100% real. At the resorts pool they have all sorts of things to do for all ages like the ""flow rider."" This is a surfing simulation where the instructors make it a point to help you out. Not only that but they have adult areas, water slides, a lazy river, and even a playground for little kids. The food place here has food that you would want for a very small price, it's mainly small dishes like French fries or chips but it's all still food you would want. If your looking for a place to stay in Nashville I defenetly suggest the Gaylord opryland."
1,"By far the best hotel experience I've ever had. Even the missteps didn't seem so bad after management handled them with poise and grace.

Speaking of poise and grace, check-in was a breeze. We attempted to check-in early (like, way early) and our room wasn't ready. I gave my cell number and was given a promise that the desk would call when they were ready for us. In the meantime, the concierge gave us maps, coupons, booklets, advice, tips, a bottle of water and great advice to use during our stay. After a lunch using one of the coupons we received in the Quarter, I got the call the room was ready. 

Our room was great. It faced the street and not the courtyard (which I highly recommend) and it was plenty spacious--the jr. King suite. I almost forgot about the kitchenette once we checked in because breakfast each day was plentiful and the hospitality hour each evening was nice as well. The swimming pool is very small, indeed, but if you want to cool off, it does the job. 

Our shower had a leak and while it was fixed during the day when we were out, our room was not freshened and we had to call for new towels. As a matter of fact, our room was not freshened until our next to last day. When I called to ask about that, a manager called back to suggest we request a time during our next stay to make sure it happens. No problem.

That night a couple across the hall were arguing at 3 a.m. and being very loud. I let the front desk know and security came up almost immediately to deal with it. Quiet hours are posted (10 pm to 9 am) and they DO NOT PLAY, so if you plan on being rowdy in the hall, this is not the place for you. 

My only complaint: there is ONE bank of elevators and the hallway is veryyyyy lonnnggggg. Our room was 3/4 down the hall. 

Would I stay here again? Absolutely. So close to 3 trolley car lines, buses, the French Quarter and a police station. Do be careful if you walk behind the hotel in Basin St. as there seemed to be some drug activity, despite the police station being a block away.",,,,,"3 trolley car lines, buses, French Quarter, police statio",,"3 trolley car lines, buses, French Quarter, police statio",,,,"The hotel is close to 3 trolley car lines, buses, the French Quarter and a police station. There seemed to be some drug activity behind the hotel.",,"The hotel is close to 3 trolley car lines, buses, the French Quarter and a police station. There seemed to be some drug activity behind the hotel.","Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas.",,"question: Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas. context: By far the best hotel experience I've ever had. Even the missteps didn't seem so bad after management handled them with poise and grace.

Speaking of poise and grace, check-in was a breeze. We attempted to check-in early (like, way early) and our room wasn't ready. I gave my cell number and was given a promise that the desk would call when they were ready for us. In the meantime, the concierge gave us maps, coupons, booklets, advice, tips, a bottle of water and great advice to use during our stay. After a lunch using one of the coupons we received in the Quarter, I got the call the room was ready. 

Our room was great. It faced the street and not the courtyard (which I highly recommend) and it was plenty spacious--the jr. King suite. I almost forgot about the kitchenette once we checked in because breakfast each day was plentiful and the hospitality hour each evening was nice as well. The swimming pool is very small, indeed, but if you want to cool off, it does the job. 

Our shower had a leak and while it was fixed during the day when we were out, our room was not freshened and we had to call for new towels. As a matter of fact, our room was not freshened until our next to last day. When I called to ask about that, a manager called back to suggest we request a time during our next stay to make sure it happens. No problem.

That night a couple across the hall were arguing at 3 a.m. and being very loud. I let the front desk know and security came up almost immediately to deal with it. Quiet hours are posted (10 pm to 9 am) and they DO NOT PLAY, so if you plan on being rowdy in the hall, this is not the place for you. 

My only complaint: there is ONE bank of elevators and the hallway is veryyyyy lonnnggggg. Our room was 3/4 down the hall. 

Would I stay here again? Absolutely. So close to 3 trolley car lines, buses, the French Quarter and a police station. Do be careful if you walk behind the hotel in Basin St. as there seemed to be some drug activity, despite the police station being a block away."
2,"Staff is amazing here. So helpful and supportive when we stayed in 2015. They knew we had a lot of stuff to load in our car, plus two little kids, so they let us take our time. We were way past the checkout hour by the time we left, lol! Hotel room was always clean, house keeping always prompt. They left the room neat as a pin. The breakfast had a lot of variety, including beverages. The breakfast area was nice to sit and relax in. The hotel itself is beautiful. You could tell the staff paid attention to cleanliness and detail. Only thing I was kind of put off by was that the bathroom and shower room didn't have locks, but that was a minor issue. I don't give five stars easily, lol, so I would definitely recommend this hotel!",,,,,,,,,,,,,,"Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas.",,"question: Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas. context: Staff is amazing here. So helpful and supportive when we stayed in 2015. They knew we had a lot of stuff to load in our car, plus two little kids, so they let us take our time. We were way past the checkout hour by the time we left, lol! Hotel room was always clean, house keeping always prompt. They left the room neat as a pin. The breakfast had a lot of variety, including beverages. The breakfast area was nice to sit and relax in. The hotel itself is beautiful. You could tell the staff paid attention to cleanliness and detail. Only thing I was kind of put off by was that the bathroom and shower room didn't have locks, but that was a minor issue. I don't give five stars easily, lol, so I would definitely recommend this hotel!"
3,"Stayed here three nights on business. The property is located very close to the airport but you really don't hear it. The rooms are standard TownePlace Suite rooms with a refrigerator, stove, etc.. The area in which the hotel is located is quiet with a combination of other hotels and office buildings. It's about a 20 minute drive to the downtown or university area. About 5-10 minutes from Pima Air Museum. There are not too many restaurants close by but there are some fast food options and a sandwich place called Baggins that was really good and within walking distance. The staff of the hotel was really friendly and helpful. The breakfast is standard continental with a couple of hot options. They also have a reception on weekday evenings. My only complaint is that the food and drink go quickly so get there early. You could use this as a dinner if you wanted. I got there about 45 minutes after it started and although there was food left there were very few soft drinks left (no diet). They could improve by keeping the area stocked throughout the period. Anyway, the rooms are nice, beds are comfortable and area is safe.",,,,,"airport, downtown, university area, Pima Air Museum, Baggins",,"airport, downtown, university area, Pima Air Museum, Baggins",,,,The hotel is located very close to the airport. It's about a 20 minute drive to the downtown or university area. About 5-10 minutes from Pima Air Museum. A sandwich place called Baggins is within walking distance.,,The hotel is located very close to the airport. It's about a 20 minute drive to the downtown or university area. About 5-10 minutes from Pima Air Museum. A sandwich place called Baggins is within walking distance.,"Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas.",,"question: Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas. context: Stayed here three nights on business. The property is located very close to the airport but you really don't hear it. The rooms are standard TownePlace Suite rooms with a refrigerator, stove, etc.. The area in which the hotel is located is quiet with a combination of other hotels and office buildings. It's about a 20 minute drive to the downtown or university area. About 5-10 minutes from Pima Air Museum. There are not too many restaurants close by but there are some fast food options and a sandwich place called Baggins that was really good and within walking distance. The staff of the hotel was really friendly and helpful. The breakfast is standard continental with a couple of hot options. They also have a reception on weekday evenings. My only complaint is that the food and drink go quickly so get there early. You could use this as a dinner if you wanted. I got there about 45 minutes after it started and although there was food left there were very few soft drinks left (no diet). They could improve by keeping the area stocked throughout the period. Anyway, the rooms are nice, beds are comfortable and area is safe."
4,"This hotel is beautiful on the inside, but not worth the price. I checked in only to have a dirty room. The sheets had something that looked like blood on them and the bathroom floor was extremely dirty. Not to mention there was left over trash on the desk. But I called the front desk and they gave me a different room and free breakfast which was good. Although the second room was clean, we had marijuana smoke seeping into our room from the vents. If I wanted to smell marijuana I would've checked into a motel. Therefore, for the amount I paid for the room, I expected the room to be emaculate and the environment to be a little more family friendly.",,,,,,,,,,,,,,"Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas.",,"question: Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas. context: This hotel is beautiful on the inside, but not worth the price. I checked in only to have a dirty room. The sheets had something that looked like blood on them and the bathroom floor was extremely dirty. Not to mention there was left over trash on the desk. But I called the front desk and they gave me a different room and free breakfast which was good. Although the second room was clean, we had marijuana smoke seeping into our room from the vents. If I wanted to smell marijuana I would've checked into a motel. Therefore, for the amount I paid for the room, I expected the room to be emaculate and the environment to be a little more family friendly."
5,I cant stand this hotel. I have had two very bad experiences here. I needed a room at 8pm one night and was going to be out by 5am and they were unwilling to accomodate or discount the rate. Im also a starwood member and they still were very unfriendly and I very un-accommodating. I would rather sleep in an alley then try to stay here again. They suck!,,,,,,,,,,,,,,"Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas.",,"question: Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas. context: I cant stand this hotel. I have had two very bad experiences here. I needed a room at 8pm one night and was going to be out by 5am and they were unwilling to accomodate or discount the rate. Im also a starwood member and they still were very unfriendly and I very un-accommodating. I would rather sleep in an alley then try to stay here again. They suck!"
6,A group of us stayed here for our annual 'moms trip' in late May and stayed in the two story suite. It was plenty of room for everyone with great location and friendly staff. I would highly recommend staying here especially if you are looking for the historical feel. This is not a modern elevator sky-rise so keep that in mind. They helped organize us with a gator tour and plantation tour and we had a great trip. You can walk anywhere in the French Quarter.,help,"gator tour, plantation tour",,,,"gator tour, plantation tour","gator tour, plantation tour",The hotel helped organize customers with a gator tour and plantation tour.,,,,The hotel helped organize customers with a gator tour and plantation tour.,The hotel helped organize customers with a gator tour and plantation tour.,"Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas.","gator tour, plantation tour","question: Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas. context: A group of us stayed here for our annual 'moms trip' in late May and stayed in the two story suite. It was plenty of room for everyone with great location and friendly staff. I would highly recommend staying here especially if you are looking for the historical feel. This is not a modern elevator sky-rise so keep that in mind. They helped organize us with a gator tour and plantation tour and we had a great trip. You can walk anywhere in the French Quarter."
7,"One of their guests went on a rampage and started punching random people, knocking one to the ground. I told the bartender to call security, then I restrained the assailant as efficiently as humanly possible, causing no injuries, no striking, basically a bear hug, until security finally arrived. Instead of a thank you I was told to go to my room or I would be trespassing--- fine, Did they look at the video and figure it out? Make it right later? No. I was treated poorly, and when I called days later, I got no response. Spoke with Art in Security, and no call back. 

Not the way to treat someone who helped you out. 

I will not be going back to Peppermill.",,,,,,,,,,,,,,"Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas.",,"question: Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas. context: One of their guests went on a rampage and started punching random people, knocking one to the ground. I told the bartender to call security, then I restrained the assailant as efficiently as humanly possible, causing no injuries, no striking, basically a bear hug, until security finally arrived. Instead of a thank you I was told to go to my room or I would be trespassing--- fine, Did they look at the video and figure it out? Make it right later? No. I was treated poorly, and when I called days later, I got no response. Spoke with Art in Security, and no call back. 

Not the way to treat someone who helped you out. 

I will not be going back to Peppermill."
8,"Great spot that stays open late for locals to drink and not have to worry about all the tourist all the time.

The beers on tap are good and the service is friendly. My friend likes their drinks and the crowd that we have met.

The wings are good so I'm excited to go back to have dinner at the bar. They have a great bar that I enjoy going to. They also have 6 packs you can buy and carry out.

This is a great spot and I can't wait to go back and have some fun with my friends on a late night bar hopping venture.",,,,,,,,,,,,,,"Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas.",,"question: Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas. context: Great spot that stays open late for locals to drink and not have to worry about all the tourist all the time.

The beers on tap are good and the service is friendly. My friend likes their drinks and the crowd that we have met.

The wings are good so I'm excited to go back to have dinner at the bar. They have a great bar that I enjoy going to. They also have 6 packs you can buy and carry out.

This is a great spot and I can't wait to go back and have some fun with my friends on a late night bar hopping venture."
9,"We stayed in a deluxe cabin over the 4th of July week. I was disappointed that it wasn't a real cabin. It's a trailer with wood siding. It's swept clean but don't walk barefoot or just in socks because it will become dirty. My cabin #80 had a few damage spots. The floor by the bed had 2 spots where one was covered by duct tape. In the bathroom there was a hole by the shower and it looks like someone stuck gum in it. The beds were not comfortable. The description said we'd get a futon but we had a pull out couch. The mattress was so thin you could feel every metal part. I liked that they had plates, bowls, silverware, mugs, glasses, and a few cooking and baking items. Make sure to bring bug spray. The flies come into the cabin when we were bringing our things in. You'll also get to see a few ants in the bathroom every morning. 

This park is definitely for families with young children. Even if you have young children I wouldn't stay more than 2 nights. There just aren't enough activities to keep you occupied. The daily activities start early in the morning and through the day and most cost extra.

The pictures of the water park are deceiving in size. It is only for little kids. The pool fills up quickly. They have 2 inflatable water slides. They offer fishing but it's for little ones because they only have guppies. Volleyball net is available but the sand got so hot it burned our skin. Definitely need to cover up. You can get balls on deposit. They claim to offer WiFi but we never got any WiFi service. My teens ended up using up our mobile data.

We ended up going outside camp for better activities for my teens. If you know you'll be back at camp after 8 p.m. make sure to get a gate pass. It's also on deposit.

It was nice and quiet. The air conditioner covers any noises anyway. If you have young children and enjoy camping then you might enjoy this place.",resolved,"water park, inflatable water slides, Fishing, Volleyball net, balls",,,,"water park, inflatable water slides, Fishing, Volleyball net, balls","water park, inflatable water slides, Fishing, Volleyball net, balls","The hotel has a water park for little kids. They have 2 inflatable water slides.
They offer fishing for little ones.
They have a volleyball net. You can get balls on deposit.",,,,"The hotel has a water park for little kids. They have 2 inflatable water slides.
They offer fishing for little ones.
They have a volleyball net. You can get balls on deposit.","The hotel has a water park for little kids. They have 2 inflatable water slides.
They offer fishing for little ones.
They have a volleyball net. You can get balls on deposit.","Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas.","water park, inflatable water slides, Fishing, Volleyball net, balls","question: Based on the following hotel review, list aspects that are atypical for a hotel. Separate them using commas. context: We stayed in a deluxe cabin over the 4th of July week. I was disappointed that it wasn't a real cabin. It's a trailer with wood siding. It's swept clean but don't walk barefoot or just in socks because it will become dirty. My cabin #80 had a few damage spots. The floor by the bed had 2 spots where one was covered by duct tape. In the bathroom there was a hole by the shower and it looks like someone stuck gum in it. The beds were not comfortable. The description said we'd get a futon but we had a pull out couch. The mattress was so thin you could feel every metal part. I liked that they had plates, bowls, silverware, mugs, glasses, and a few cooking and baking items. Make sure to bring bug spray. The flies come into the cabin when we were bringing our things in. You'll also get to see a few ants in the bathroom every morning. 

This park is definitely for families with young children. Even if you have young children I wouldn't stay more than 2 nights. There just aren't enough activities to keep you occupied. The daily activities start early in the morning and through the day and most cost extra.

The pictures of the water park are deceiving in size. It is only for little kids. The pool fills up quickly. They have 2 inflatable water slides. They offer fishing but it's for little ones because they only have guppies. Volleyball net is available but the sand got so hot it burned our skin. Definitely need to cover up. You can get balls on deposit. They claim to offer WiFi but we never got any WiFi service. My teens ended up using up our mobile data.

We ended up going outside camp for better activities for my teens. If you know you'll be back at camp after 8 p.m. make sure to get a gate pass. It's also on deposit.

It was nice and quiet. The air conditioner covers any noises anyway. If you have young children and enjoy camping then you might enjoy this place."
