,review,true_nc,true_oc,true_nc_oc,abs_true_nc,abs_true_nc_1,instruction,label,formatted_output
0,If u are in or visiting Tampa Bay u need get to the beach at Redington Shores & eat at Broke & Bored!!  What a fantastic find!! Great food at reasonable prices!!,,,,,,list what is atypical in the restaurant. Separate them using commas.,,"question: Given the following restaurant review, list what is atypical in the restaurant. Separate them using commas. context: If u are in or visiting Tampa Bay u need get to the beach at Redington Shores & eat at Broke & Bored!!  What a fantastic find!! Great food at reasonable prices!!"
1,Always good always consistent and you can even call and as you're coming down the highway to request them to have something ready excellent Cuban sandwich all the way,,,,,,list what is atypical in the restaurant. Separate them using commas.,,"question: Given the following restaurant review, list what is atypical in the restaurant. Separate them using commas. context: Always good always consistent and you can even call and as you're coming down the highway to request them to have something ready excellent Cuban sandwich all the way"
2,Austin whipped up the best drinks from scratch that we're amazingsuper personality and his creations were unbelievable definitely worth a visit great experience best  of all the prices of these cocktails were reasonable,,,,,,list what is atypical in the restaurant. Separate them using commas.,,"question: Given the following restaurant review, list what is atypical in the restaurant. Separate them using commas. context: Austin whipped up the best drinks from scratch that we're amazingsuper personality and his creations were unbelievable definitely worth a visit great experience best  of all the prices of these cocktails were reasonable"
3,The breakfast here is on point the tortas carne asada  are very good! The place itself looks like a hole in the wall but the food is authentic and the portions are nice size. There are a few of these locations around town which makes it easy to grab a burrito or torta during lunch because they have so many locations. The only issue I have is that the establishments are small and sometimes the staff has a hard time getting the food out quick during a rush. Overall it's a legit spot for authentic Mexican food .,,,,,,list what is atypical in the restaurant. Separate them using commas.,,"question: Given the following restaurant review, list what is atypical in the restaurant. Separate them using commas. context: The breakfast here is on point the tortas carne asada  are very good! The place itself looks like a hole in the wall but the food is authentic and the portions are nice size. There are a few of these locations around town which makes it easy to grab a burrito or torta during lunch because they have so many locations. The only issue I have is that the establishments are small and sometimes the staff has a hard time getting the food out quick during a rush. Overall it's a legit spot for authentic Mexican food ."
4,"A bit high priced, and the food is overall good, but not amazing. Still, I really enjoyed myself here probably because I just love sitting at a place on the water (even if the road is right nearby). The place seems large and mostly outdoors. It's a casual fun atmosphere and boaters can come right up to dock. You can also bring your pets! In fact, I saw one guy who brought his parakeet on his shoulder! lolWe had some tasty frozen drinks, that either hid the alcohol taste very well with all the sweetness or it was lacking enough alcohol. I'm not sure which, but kinda leaning towards the latter. They have a few beers on tap, but may not be familiar with them. For example, our waitress didn't know that there are several types of Sam Adams beers when I asked which one was on tap.I had the stuffed flounder for my main course and ate every bite. However, I could have been better with less sauce on it. My stomach hurt from all that afterwards I think. We tried the fried cheesecake for dessert...it was okay. Nothing exciting.If you're looking for a leisurely dinner outside while enjoying the Florida atmosphere, this is your place. I wouldn't say no to going back!","water, boaters, dock, your pets",,"water, boaters, dock, your pets","They are a place on the water.
Boaters can come right up to dock.
Customers can bring their pets.","The restaurant is placed on the water.
Boaters can come right up to dock.
Customers can bring their pets.",list what is atypical in the restaurant. Separate them using commas.,"water, boaters, dock, your pets","question: Given the following restaurant review, list what is atypical in the restaurant. Separate them using commas. context: A bit high priced, and the food is overall good, but not amazing. Still, I really enjoyed myself here probably because I just love sitting at a place on the water (even if the road is right nearby). The place seems large and mostly outdoors. It's a casual fun atmosphere and boaters can come right up to dock. You can also bring your pets! In fact, I saw one guy who brought his parakeet on his shoulder! lolWe had some tasty frozen drinks, that either hid the alcohol taste very well with all the sweetness or it was lacking enough alcohol. I'm not sure which, but kinda leaning towards the latter. They have a few beers on tap, but may not be familiar with them. For example, our waitress didn't know that there are several types of Sam Adams beers when I asked which one was on tap.I had the stuffed flounder for my main course and ate every bite. However, I could have been better with less sauce on it. My stomach hurt from all that afterwards I think. We tried the fried cheesecake for dessert...it was okay. Nothing exciting.If you're looking for a leisurely dinner outside while enjoying the Florida atmosphere, this is your place. I wouldn't say no to going back!"
5,"This is a review of a family Thanksgiving dinner - conceived and cooked at Charro Steak. Then heated and enjoyed at home surrounded by our small family on this out of sorts Thanksgiving. The meal was wonderful. 5 stars. More if they had the option. Everything was wonderfully prepared and thoughtfully packaged with detailed, fool-proof instructions. The bird was moist, tasty, and gorgeous. The elotes and stuffing, in a coop with Barrio Bread, were delicious. The buttery smooth green Chile mashed potatoes were a hit!  And the gravy - oh the gravy was heaven.   Si Charro always impresses. And this was no exception.  You could tell the food was prepared with love. All their restaurants have taken great care and invested a lot of money to stay rolling. Whether you're looking for some great takeout or you're comfortable eating in a restaurant, this restaurant group deserves your business. They have certainly earned it!",,,,,,list what is atypical in the restaurant. Separate them using commas.,,"question: Given the following restaurant review, list what is atypical in the restaurant. Separate them using commas. context: This is a review of a family Thanksgiving dinner - conceived and cooked at Charro Steak. Then heated and enjoyed at home surrounded by our small family on this out of sorts Thanksgiving. The meal was wonderful. 5 stars. More if they had the option. Everything was wonderfully prepared and thoughtfully packaged with detailed, fool-proof instructions. The bird was moist, tasty, and gorgeous. The elotes and stuffing, in a coop with Barrio Bread, were delicious. The buttery smooth green Chile mashed potatoes were a hit!  And the gravy - oh the gravy was heaven.   Si Charro always impresses. And this was no exception.  You could tell the food was prepared with love. All their restaurants have taken great care and invested a lot of money to stay rolling. Whether you're looking for some great takeout or you're comfortable eating in a restaurant, this restaurant group deserves your business. They have certainly earned it!"
6,"It's my second time coming to this place. I love the concept of it. They have healthy good food, great craft selection, tea, coffee, non dairy options. What cool about this place is how kid friendly it is. They have a section where you can take your kids. They have a professional babysitting service at the restaurant. Wanna drink a beer without your 3 year old, it possible at this restaurant. The restrooms are kid friendly also. Forgot your diaper, they got you. They have a good selection of different size diapers. Wanna work or finish a paper and have someone watch your kid. The food is pretty good but the portions are little small. I have had the Cuban and it comes with chips. I have also had one of their bowls and that was really good. I was able to customize both of those meals to be dairy free. Their kid meals are good portions and they have healthy option for children.","professional babysitting service, different size diapers",section,"professional babysitting service, different size diapers, section","They have a professional babysitting service.
They have a good selection of different size diapers in the restrooms.","The restaurant has a professional babysitting service.
They have a good selection of different size diapers in the restrooms.",list what is atypical in the restaurant. Separate them using commas.,"professional babysitting service, different size diapers","question: Given the following restaurant review, list what is atypical in the restaurant. Separate them using commas. context: It's my second time coming to this place. I love the concept of it. They have healthy good food, great craft selection, tea, coffee, non dairy options. What cool about this place is how kid friendly it is. They have a section where you can take your kids. They have a professional babysitting service at the restaurant. Wanna drink a beer without your 3 year old, it possible at this restaurant. The restrooms are kid friendly also. Forgot your diaper, they got you. They have a good selection of different size diapers. Wanna work or finish a paper and have someone watch your kid. The food is pretty good but the portions are little small. I have had the Cuban and it comes with chips. I have also had one of their bowls and that was really good. I was able to customize both of those meals to be dairy free. Their kid meals are good portions and they have healthy option for children."
7,"Worst dining experience I've ever had. I went in with low expectations...burger bar on Bourbon St...at 9pm. We were seated at an awkward bar, table, island thing, even though there were open ""regular"" tables. It took about 15 minutes for a waiter to come by and get our drink order, and then another 15 to actually get them. While we were waiting, we saw a RAT, yes, a rat, scamper across the floor into the bar area. Food arrived about 30 minutes after it was ordered, and it was average at best. Once checks were brought, our waiter became a ghost. We had to take credit cards to a manager to get them processed. If you're on Bourbon, do yourself a favor...skip the Bayou Burger.",,,,,,list what is atypical in the restaurant. Separate them using commas.,,"question: Given the following restaurant review, list what is atypical in the restaurant. Separate them using commas. context: Worst dining experience I've ever had. I went in with low expectations...burger bar on Bourbon St...at 9pm. We were seated at an awkward bar, table, island thing, even though there were open ""regular"" tables. It took about 15 minutes for a waiter to come by and get our drink order, and then another 15 to actually get them. While we were waiting, we saw a RAT, yes, a rat, scamper across the floor into the bar area. Food arrived about 30 minutes after it was ordered, and it was average at best. Once checks were brought, our waiter became a ghost. We had to take credit cards to a manager to get them processed. If you're on Bourbon, do yourself a favor...skip the Bayou Burger."
8,"I'm no Taiwanese food expert, but I came with a pack of my Taiwanese friends and they kept saying ""the food here is SOO GOOD. If they opened in SF, I would come here all the time.""We ordered so much food. I have no idea what we ordered, but I'll try my best: Braised beef noodle soup: so good, and really helped my hangover :) the noodles were cooked al dente and had a good beef flavor. Popcorn chicken: really good! Juicy, large pieces of chicken. Not overloaded with batter. Crispy pork roll: also very good. My friend said this was her favorite. Stinky tofu: ok, I didn't like this. I like the idea of something savory with pickled veggies, but I just don't like the smell. Tomato with scrambled egg: this tasted too watery and didn't have enough flavor for me. Scallion pancake: this was one of my favoritesBraised pork over rice: too little pork and too much rice. I think like say we didn't need to order this Szechuan eggplant: super good! One of my favorite dishes Sorry that I don't have a lot of details describing the flavors of each dish, but just know with the exceptions of the ones I said I didn't like above, everything else was good! Also, the milk teas are not good here.",,,,,,list what is atypical in the restaurant. Separate them using commas.,,"question: Given the following restaurant review, list what is atypical in the restaurant. Separate them using commas. context: I'm no Taiwanese food expert, but I came with a pack of my Taiwanese friends and they kept saying ""the food here is SOO GOOD. If they opened in SF, I would come here all the time.""We ordered so much food. I have no idea what we ordered, but I'll try my best: Braised beef noodle soup: so good, and really helped my hangover :) the noodles were cooked al dente and had a good beef flavor. Popcorn chicken: really good! Juicy, large pieces of chicken. Not overloaded with batter. Crispy pork roll: also very good. My friend said this was her favorite. Stinky tofu: ok, I didn't like this. I like the idea of something savory with pickled veggies, but I just don't like the smell. Tomato with scrambled egg: this tasted too watery and didn't have enough flavor for me. Scallion pancake: this was one of my favoritesBraised pork over rice: too little pork and too much rice. I think like say we didn't need to order this Szechuan eggplant: super good! One of my favorite dishes Sorry that I don't have a lot of details describing the flavors of each dish, but just know with the exceptions of the ones I said I didn't like above, everything else was good! Also, the milk teas are not good here."
9,"Royaly Rude off ellerslie was our 'go to' pizza place until the last experience with their managers deterred us for a long time. We ordered two medium pizzas and coke, came to 45.00 plus tip. The pizzas were both terribly made. Hardly any cheese with holes to the extra thick Dow that had no flavour. The toppings were ok but the sauce nearly invisible. Normally when something like this happens I bring it to a manager so they can offer a solution. The first manager I spoke to the following day offered us a 10.00 credit which I declined as our order was 50.00 after extra charges. She then told me she was placing a credit for both pizzas onto our account, which I clairifies before ending the call. That was two weeks ago. When I called last night they told me I had 10.00 credit and that they would call me back after speaking  with the manager who had applied this. They did not call me back. I caller again this morning to follow up and was told the girl didn't end up coming to work last night due to car troubles. She then had another fairly rude manager call me to tell me I'm basically lying about the whole thing. Not sure who is actually in charge over at that location but they could use a customer service course! Won't return for a long time! Very disappointed! If your going To charge royal prices, perhaps should hire some staff too match.",,,,,,list what is atypical in the restaurant. Separate them using commas.,,"question: Given the following restaurant review, list what is atypical in the restaurant. Separate them using commas. context: Royaly Rude off ellerslie was our 'go to' pizza place until the last experience with their managers deterred us for a long time. We ordered two medium pizzas and coke, came to 45.00 plus tip. The pizzas were both terribly made. Hardly any cheese with holes to the extra thick Dow that had no flavour. The toppings were ok but the sauce nearly invisible. Normally when something like this happens I bring it to a manager so they can offer a solution. The first manager I spoke to the following day offered us a 10.00 credit which I declined as our order was 50.00 after extra charges. She then told me she was placing a credit for both pizzas onto our account, which I clairifies before ending the call. That was two weeks ago. When I called last night they told me I had 10.00 credit and that they would call me back after speaking  with the manager who had applied this. They did not call me back. I caller again this morning to follow up and was told the girl didn't end up coming to work last night due to car troubles. She then had another fairly rude manager call me to tell me I'm basically lying about the whole thing. Not sure who is actually in charge over at that location but they could use a customer service course! Won't return for a long time! Very disappointed! If your going To charge royal prices, perhaps should hire some staff too match."
