,review,true_strong,true_weak,other,true_strong_weak,abs_true_strong,abs_true_weak,abs_true_other,abs_true_strong_weak,abs_true_strong_alt,abs_true_weak_alt,abs_true_other_alt,abs_true_strong_weak_alt,comments,instruction,label,formatted_output
0,"Tool central. Whether they're making up new rules in order to charge you more or glaring at your ""I-don't-feel-the-need-to-try-that-hard"" handbag, the staff here is neither friendly nor helpful in any way. In fact, they seem to want to make it harder for you to spend money there. Though I have given up in recent months, each of the last three times I attempted to patronize Byblos my group was faced with some new ridiculous and awkward stipulation. First, all of a sudden, parties of 5 or more had to purchase at least two hookahs, then tables were reserved for parties ordering food, and then it was a minimum charge per head at the table. And all of it seemed so shadily implemented and relayed that I'm 90% sure those rules were (and probably are) instated on a case-by-case basis as people walk in the door. And to top it all off, the place is cold and hollow, lacking the kitschy charm of many other hookah bars, as well as too-often bombarded with the bumbling of an over-zealous wannabe-in-Ibiza DJ. Overall, a no.",over-zealous wannabe-in-Ibiza DJ,,,over-zealous wannabe-in-Ibiza DJ,They have a wannabe-in-Ibiza DJ.,,,They have a wannabe-in-Ibiza DJ.,The restaurant has a wannabe-in-Ibiza DJ.,,,The restaurant has a wannabe-in-Ibiza DJ.,,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.",over-zealous wannabe-in-Ibiza DJ,"question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: Tool central. Whether they're making up new rules in order to charge you more or glaring at your ""I-don't-feel-the-need-to-try-that-hard"" handbag, the staff here is neither friendly nor helpful in any way. In fact, they seem to want to make it harder for you to spend money there. Though I have given up in recent months, each of the last three times I attempted to patronize Byblos my group was faced with some new ridiculous and awkward stipulation. First, all of a sudden, parties of 5 or more had to purchase at least two hookahs, then tables were reserved for parties ordering food, and then it was a minimum charge per head at the table. And all of it seemed so shadily implemented and relayed that I'm 90% sure those rules were (and probably are) instated on a case-by-case basis as people walk in the door. And to top it all off, the place is cold and hollow, lacking the kitschy charm of many other hookah bars, as well as too-often bombarded with the bumbling of an over-zealous wannabe-in-Ibiza DJ. Overall, a no."
1,"We celebrated New Years at the Hibachi Japanese Steak House and it was a blast! The started off with food that was incredible and then provided an awesome environment for New Years! They had two dance floors, a photo booth, and a great view of the Penns Landing fireworks! This New Years was a night to remember! I highly recommend this restaurant!","dance floors, photo booth, Penns Landing fireworks",,,"dance floors, photo booth, Penns Landing fireworks","For New Years they had two dance floors, a photo booth, and a great view of the Penns Landing fireworks.",,,"For New Years they had two dance floors, a photo booth, and a great view of the Penns Landing fireworks.","For New Year the restaurant had two dance floors, a photo booth, and a great view of the Penns Landing fireworks.",,,"For New Year the restaurant had two dance floors, a photo booth, and a great view of the Penns Landing fireworks.",,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.","dance floors, photo booth, Penns Landing fireworks","question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: We celebrated New Years at the Hibachi Japanese Steak House and it was a blast! The started off with food that was incredible and then provided an awesome environment for New Years! They had two dance floors, a photo booth, and a great view of the Penns Landing fireworks! This New Years was a night to remember! I highly recommend this restaurant!"
2,"Yes, the store front is closed, but Rounds has a grab n go little set up inside of Tesla. Basically a check yourself out little mini joint.  Sandwiches, salads wraps, bagels, pastries, chips, sodas....snacks and such.    There is a lot of variety and they keep it well stocked.  My only complaint is the pricing.  It is a bit much.  $6 for half a sandwich wrap.  $8 for a basic sandwich.   In a cafeteria setting that is self serve...a bit pricey.  Don't get me wrong. It is convenient, especially in bad weather.    Food is always fresh, well packaged and tasty.   Their tortellini salad is my favorite.   The Caleb's Club is my go to sandwich.  I do appreciate them being inside the (ridiculously large) building and do like their food for being pre-made and pre-packaged grab and go fare.",,Tesla,,,,They are set up inside of Tesla.,,They are set up inside of Tesla.,,The restaurant is set up inside of Tesla.,,The restaurant is set up inside of Tesla.,,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.",,"question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: Yes, the store front is closed, but Rounds has a grab n go little set up inside of Tesla. Basically a check yourself out little mini joint.  Sandwiches, salads wraps, bagels, pastries, chips, sodas....snacks and such.    There is a lot of variety and they keep it well stocked.  My only complaint is the pricing.  It is a bit much.  $6 for half a sandwich wrap.  $8 for a basic sandwich.   In a cafeteria setting that is self serve...a bit pricey.  Don't get me wrong. It is convenient, especially in bad weather.    Food is always fresh, well packaged and tasty.   Their tortellini salad is my favorite.   The Caleb's Club is my go to sandwich.  I do appreciate them being inside the (ridiculously large) building and do like their food for being pre-made and pre-packaged grab and go fare."
3,"Love this place. The breakfast is awesome and the lunch is just as good. Come prepared to eat. The weekend can be very busy and has a wait (although it does not seem to be more than 20 minutes). I typically am by myself so I set at the counter which is also a great option if there is just two of you. I asked about reservations. They told me reservations are accepted for parties greater than six. What I really love about this place is they always provide excellent service and as busy as they are they somehow remember what you like form one visit to the next. My favorite is the breakfast with the thick cut bacon. For lunch I enjoy their burgers. Both come with a little extra. The breakfast comes with a pastry basket and the lunch comes with your choice of relishes (coleslaw, beets, macaroni salad). The menu is huge with three pages of choices. One thing I enjoy about sitting at the counter is the buzz of the work and you get to see different things coming by. As well as options and comments from other people trying to decide what they want. Which sometimes leads to good humor as the banter with the wait staff starts expanding. One of the most delightful comments that I have heard by other customers is ""wow that was fast"". This is especially important when you are hungry. When you arrive don't be fooled by the crowd. They do seat people with minimal wait. Parking Lenny's lot can be a challenge if there is a large crowd. However, the old Mazda dealership next door allows customers to park for the overflow. On the weekends kids (I am sure of all ages) can experience ""Mark the Balloon Guy"". His creations are unique and entertaining. You often are met by decorative balloon hats as you are walking in. The atmosphere is family diner at its best. Often the windows are decorated for the Holidays at hand. It is not uncommon for the entire place to be asked to sing ""happy birthday"" for another guest. And the little nuances like the stuffed animal/puppets for sale at the front, the sports theme with the traditional wooden baseball stadium seats for waiting, and the interesting giant stuffed spider that goes up and down when the door leading to the bathrooms opens and closes on the other side of the restaurant. I gave this 5 stars because it is a fun place, with great food, served by nice people, with a wonderful atmosphere. Please give it a try.","Mark the Balloon Guy, stuffed animal/puppets","decorative balloon hats, sports theme, traditional wooden baseball stadium seats, interesting giant stuffed spider",old Mazda dealership,"Mark the Balloon Guy, stuffed animal/puppets, old Mazda dealership, decorative balloon hats, sports theme, traditional wooden baseball stadium seats, interesting giant stuffed spider","On the weekends kids can experience ""Mark the Balloon Guy"".
They have stuffed animal/puppets for sale at the front.","Customers are often met by decorative balloon hats as they are walking in. They have stuffed animal/puppets for sale at the front, the sports theme with the traditional wooden baseball stadium seats for waiting. The restaurant has an interesting giant stuffed spider that goes up and down when the door leading to the bathrooms opens and closes on the other side of the restaurant.",The restaurant has the old Mazda dealership next door.,"On the weekends kids can experience ""Mark the Balloon Guy"". Customers are often met by decorative balloon hats as they are walking in.
They have stuffed animal/puppets for sale at the front, the sports theme with the traditional wooden baseball stadium seats for waiting.
They have an interesting giant stuffed spider that goes up and down when the door leading to the bathrooms opens and closes on the other side of the restaurant.","On the weekends kids can experience ""Mark the Balloon Guy"" at the restaurant.
They have stuffed animal/puppets for sale at the front.","Customers are often met by decorative balloon hats as they are walking in. The restaurant has stuffed animal/puppets for sale at the front, the sports theme with the traditional wooden baseball stadium seats for waiting. The restaurant has an interesting giant stuffed spider that goes up and down when the door leading to the bathrooms opens and closes on the other side of the restaurant.",,"On the weekends kids can experience ""Mark the Balloon Guy"". His creations are unique and entertaining. Customers are often met by decorative balloon hats as they are walking in.
The restaurant has stuffed animal/puppets for sale at the front, the sports theme with the traditional wooden baseball stadium seats for waiting.
Thy have an interesting giant stuffed spider that goes up and down when the door leading to the bathrooms opens and closes on the other side of the restaurant.",,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.","Mark the Balloon Guy, stuffed animal/puppets, old Mazda dealership, decorative balloon hats, sports theme, traditional wooden baseball stadium seats, interesting giant stuffed spider","question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: Love this place. The breakfast is awesome and the lunch is just as good. Come prepared to eat. The weekend can be very busy and has a wait (although it does not seem to be more than 20 minutes). I typically am by myself so I set at the counter which is also a great option if there is just two of you. I asked about reservations. They told me reservations are accepted for parties greater than six. What I really love about this place is they always provide excellent service and as busy as they are they somehow remember what you like form one visit to the next. My favorite is the breakfast with the thick cut bacon. For lunch I enjoy their burgers. Both come with a little extra. The breakfast comes with a pastry basket and the lunch comes with your choice of relishes (coleslaw, beets, macaroni salad). The menu is huge with three pages of choices. One thing I enjoy about sitting at the counter is the buzz of the work and you get to see different things coming by. As well as options and comments from other people trying to decide what they want. Which sometimes leads to good humor as the banter with the wait staff starts expanding. One of the most delightful comments that I have heard by other customers is ""wow that was fast"". This is especially important when you are hungry. When you arrive don't be fooled by the crowd. They do seat people with minimal wait. Parking Lenny's lot can be a challenge if there is a large crowd. However, the old Mazda dealership next door allows customers to park for the overflow. On the weekends kids (I am sure of all ages) can experience ""Mark the Balloon Guy"". His creations are unique and entertaining. You often are met by decorative balloon hats as you are walking in. The atmosphere is family diner at its best. Often the windows are decorated for the Holidays at hand. It is not uncommon for the entire place to be asked to sing ""happy birthday"" for another guest. And the little nuances like the stuffed animal/puppets for sale at the front, the sports theme with the traditional wooden baseball stadium seats for waiting, and the interesting giant stuffed spider that goes up and down when the door leading to the bathrooms opens and closes on the other side of the restaurant. I gave this 5 stars because it is a fun place, with great food, served by nice people, with a wonderful atmosphere. Please give it a try."
4,"Came here with my husband on our honeymoon this past week as a celebratory meal. We had seen that this was probably the fanciest place in New Orleans so we had to try it. Definitely make sure to make a reservation. First off, this place is HUGE. Literally we walked through like 5 rooms to get to our table. It was crazy. There are a few options on the menu. You can do the tasting menu, a 3 course meal, or a la carte. We both chose to go with the 3 course meal. I got a shrimp dish and my husband got the quail. For dessert I opted for the souffle. I have to say the food was pretty good. It wasn't the best food I've ever had though for that price, but it was good nonetheless. Most notable was the souffle. It was AMAZING. Worth the extra $3 for it. I was so mad that I couldn't finish it because I was way too full. Overall, this was a good choice for a special occasion. The service is great and the atmosphere is definitely fancy. The managers also make sure to personally come by to congratulate you and thank you for eating at the restaurant which I thought was a good touch. I personally just felt a tad bit out of place here. We were definitely the only minorities at this restaurant and we definitely stood out, but it's fine. Tip: There are a ton of pokestops around here since it's right across from the cemetery. It's also a pokestop by itself too. So get your pokeballs and catch them pokemon!","pokestops, cemetery, pokestop",,,"pokestops, cemetery, pokestop","There are a ton of pokestops around since it's right across from the cemetery.
It is a pokestop by itself.",,,"There are a ton of pokestops around since it's right across from the cemetery.
It is a pokestop by itself.","There are a ton of pokestops around the restaurant since it's right across from the cemetery.
It is a pokestop by itself.",,,"There are a ton of pokestops around the restaurant since it's right across from the cemetery.
It is a pokestop by itself.",,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.","pokestops, cemetery, pokestop","question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: Came here with my husband on our honeymoon this past week as a celebratory meal. We had seen that this was probably the fanciest place in New Orleans so we had to try it. Definitely make sure to make a reservation. First off, this place is HUGE. Literally we walked through like 5 rooms to get to our table. It was crazy. There are a few options on the menu. You can do the tasting menu, a 3 course meal, or a la carte. We both chose to go with the 3 course meal. I got a shrimp dish and my husband got the quail. For dessert I opted for the souffle. I have to say the food was pretty good. It wasn't the best food I've ever had though for that price, but it was good nonetheless. Most notable was the souffle. It was AMAZING. Worth the extra $3 for it. I was so mad that I couldn't finish it because I was way too full. Overall, this was a good choice for a special occasion. The service is great and the atmosphere is definitely fancy. The managers also make sure to personally come by to congratulate you and thank you for eating at the restaurant which I thought was a good touch. I personally just felt a tad bit out of place here. We were definitely the only minorities at this restaurant and we definitely stood out, but it's fine. Tip: There are a ton of pokestops around here since it's right across from the cemetery. It's also a pokestop by itself too. So get your pokeballs and catch them pokemon!"
5,"I love this place! Food is always good never had a bad experience, the service is great everyone is welcoming and just treats you like a friend or family. Plus, they have a ""parakeet paradise"" outside of the side window who could not love sitting enjoying a meal and watching the birds playing and flying around! Will keep coming back!",parakeet paradise,,,parakeet paradise,"They have a ""parakeet paradise"" outside of the side window.",,,"They have a ""parakeet paradise"" outside of the side window.","The restaurant has a ""parakeet paradise"" outside of the side window.",,,"The restaurant has a ""parakeet paradise"" outside of the side window.",,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.",parakeet paradise,"question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: I love this place! Food is always good never had a bad experience, the service is great everyone is welcoming and just treats you like a friend or family. Plus, they have a ""parakeet paradise"" outside of the side window who could not love sitting enjoying a meal and watching the birds playing and flying around! Will keep coming back!"
6,"I make it a habit to visit gluten free bakeries and cafes when in different cities, and stopped by New Deal when driving through. I really wanted to like it because I appreciate fully gluten free restaurants. Here's what I tried: French toast - Good! Nothing spectacular, but it was fluffy. Sausages - averageBiscuit - it was not very biscuit-y, more like a dinner roll in a biscuit shape. I would not order it again. (I've had gluten free biscuits at other places that are amazing - flaky and you would never know they were gluten free because they are so amazing.)Brookie - Good, but nothing spectacular. I wouldn't drive out of my way to eat here again, but it's a good option if you're local.",,,,,,,,,,,,,,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.",,"question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: I make it a habit to visit gluten free bakeries and cafes when in different cities, and stopped by New Deal when driving through. I really wanted to like it because I appreciate fully gluten free restaurants. Here's what I tried: French toast - Good! Nothing spectacular, but it was fluffy. Sausages - averageBiscuit - it was not very biscuit-y, more like a dinner roll in a biscuit shape. I would not order it again. (I've had gluten free biscuits at other places that are amazing - flaky and you would never know they were gluten free because they are so amazing.)Brookie - Good, but nothing spectacular. I wouldn't drive out of my way to eat here again, but it's a good option if you're local."
7,"""Beeeeeeilerrrrr!"" ...is what I always think to myself whenever I pass by Beiler's Bakery. This place is always a mob scene, especially right before holidays. If they have the ticket machine out, grab a number and grab what you want, or wait for your number to be called and tell the nice employee what you want. If they don't have the ticket machine out, it's every man for himself, take no prisoners, all-out warfare. Don't expect daintily decorated pastries or painstakingly piped frosting or even equal sizes between items. Don't expect to eat your cake/pastry/pie tidily, either. DO expect donuts and cinnamon buns and cupcakes bigger than your head for a great value, and an apple pie that will make you nostalgic for your mother's (And my mom never even made pies). It's lovely, rustic baking produced in large quantities for the hungry masses of Philly. We love grabbing their whoopee pies and pumpkin pies. To be honest, I've haven't had a freshly-baked, hot-out-of-the-oven good from Beiler's yet, but if you get the opportunity, grab one and let me know just how amazing it is, won't you?",,,,,,,,,,,,,,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.",,"question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: ""Beeeeeeilerrrrr!"" ...is what I always think to myself whenever I pass by Beiler's Bakery. This place is always a mob scene, especially right before holidays. If they have the ticket machine out, grab a number and grab what you want, or wait for your number to be called and tell the nice employee what you want. If they don't have the ticket machine out, it's every man for himself, take no prisoners, all-out warfare. Don't expect daintily decorated pastries or painstakingly piped frosting or even equal sizes between items. Don't expect to eat your cake/pastry/pie tidily, either. DO expect donuts and cinnamon buns and cupcakes bigger than your head for a great value, and an apple pie that will make you nostalgic for your mother's (And my mom never even made pies). It's lovely, rustic baking produced in large quantities for the hungry masses of Philly. We love grabbing their whoopee pies and pumpkin pies. To be honest, I've haven't had a freshly-baked, hot-out-of-the-oven good from Beiler's yet, but if you get the opportunity, grab one and let me know just how amazing it is, won't you?"
8,It was about time that UCity got a non ubiquitous chain coffee shop closer to campus. Came here a lot when it first opened and they have really evolved beyond just a cafe with great espresso & pastries. Reasons to love Lovers & Madmen:1. BAM! That espresso will definitely give you the spark you need! 2. Baristas have consistently delivered some of the best foam in my cappuccino. 3. Four Worlds Croissants = HEAVEN. Actually all of their pastries are good but I'd do just about anything for those croissants. 4. Their tea & tea lattes are surprisingly legit aka well-brewed & flavorful. I recommend their Vanilla Chai (Soy/Dairy are both good)5. Great space & bright clean decor. Comfy couches that are great to snug up for a read. 6. L&M has and have been proactive in trying to nurture a community culture vibe. They offer film nights & art exhibits/events. Not sure if they still do this but they used to have Latte Art Offs - where anybody who wanted to show off their Latte Art skills could compete. The only big issue I have with L&M is that their wifi is finicky / hates my Macbook. It refuses to connect and I've done almost everything under the sun to try to work it out. Nothing to divorce over but we've separated a bit since ... They are a bit pricer but I'm willing to fork it over =),"film nights & art exhibits/events, Latte Art Offs, wifi",community culture vibe,,"film nights & art exhibits/events, Latte Art Offs, wifi","They offer film nights & art exhibits/events.
They used to have Latte Art Offs.",They nurture a community culture vibe.,,"They nurture a community culture vibe. They offer film nights & art exhibits/events.
They used to have Latte Art Offs.","The restaurant offers film nights & art exhibits/events.
They used to have Latte Art Offs.",The restaurant nurtures a community culture vibe.,,"The restaurant nurtures a community culture vibe.
They offer film nights & art exhibits/events.
They used to have Latte Art Offs.",,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.","film nights & art exhibits/events, Latte Art Offs, wifi","question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: It was about time that UCity got a non ubiquitous chain coffee shop closer to campus. Came here a lot when it first opened and they have really evolved beyond just a cafe with great espresso & pastries. Reasons to love Lovers & Madmen:1. BAM! That espresso will definitely give you the spark you need! 2. Baristas have consistently delivered some of the best foam in my cappuccino. 3. Four Worlds Croissants = HEAVEN. Actually all of their pastries are good but I'd do just about anything for those croissants. 4. Their tea & tea lattes are surprisingly legit aka well-brewed & flavorful. I recommend their Vanilla Chai (Soy/Dairy are both good)5. Great space & bright clean decor. Comfy couches that are great to snug up for a read. 6. L&M has and have been proactive in trying to nurture a community culture vibe. They offer film nights & art exhibits/events. Not sure if they still do this but they used to have Latte Art Offs - where anybody who wanted to show off their Latte Art skills could compete. The only big issue I have with L&M is that their wifi is finicky / hates my Macbook. It refuses to connect and I've done almost everything under the sun to try to work it out. Nothing to divorce over but we've separated a bit since ... They are a bit pricer but I'm willing to fork it over =)"
9,"Classic West Philly spot where you can see local wildlife. Everyone from moms to anarchists to hackers to organic gardeners to activists hangs out there. The coffee is excellent, the baked goods are great as well, and if you're working on something, you might run into a possible collaborator there. If you're thinking of moving to West Philly, definitely check out Satellite and the farmer's market.UPDATE (2/24/2013): They've replaced the cracked and chipped cups with new cups, which are awesome. They also got rid of the vegan chicken salad wrap, which was genuinely awful. Everything's looking better, but still feels like home! =)Old Review: There are some downsides to Satellite, but none that really keep us away. For one, every cup is chipped. Every. Single. Cup. I always get my coffee ""to go"" even if I plan to stay there to avoid drinking out of the cups. Avoid the ""vegan chicken salad wrap"" at all costs. Technically, it's edible. But it's really terrible, and not even close to actual chicken. The bathroom used to be gross, but now is looking a lot better. There's black chalkboard paint on the walls, which is probably for the best. The service varies widely, but has been improving lately. There's one guy who works there who is just really cold to patrons. Some servers are rude and some are really lovely. But I almost never came back after my first time there because of bad service.","local wildlife, moms, anarchists, hackers, organic gardeners, activists",,,"local wildlife, moms, anarchists, hackers, organic gardeners, activists","You can see local wildlife there.
Everyone from moms to anarchists to hackers to organic gardeners to activists hangs out there.",,,"You can see local wildlife there.
Everyone from moms to anarchists to hackers to organic gardeners to activists hangs out there.","You can see local wildlife at the restaurant.
Everyone from moms to anarchists to hackers to organic gardeners to activists hangs out there.",,,"You can see local wildlife at the restaurant.
Everyone from moms to anarchists to hackers to organic gardeners to activists hangs out there.",,"Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas.","local wildlife, moms, anarchists, hackers, organic gardeners, activists","question: Based on the following restaurant review, list aspects that are atypical for a restaurant. Separate them using commas. context: Classic West Philly spot where you can see local wildlife. Everyone from moms to anarchists to hackers to organic gardeners to activists hangs out there. The coffee is excellent, the baked goods are great as well, and if you're working on something, you might run into a possible collaborator there. If you're thinking of moving to West Philly, definitely check out Satellite and the farmer's market.UPDATE (2/24/2013): They've replaced the cracked and chipped cups with new cups, which are awesome. They also got rid of the vegan chicken salad wrap, which was genuinely awful. Everything's looking better, but still feels like home! =)Old Review: There are some downsides to Satellite, but none that really keep us away. For one, every cup is chipped. Every. Single. Cup. I always get my coffee ""to go"" even if I plan to stay there to avoid drinking out of the cups. Avoid the ""vegan chicken salad wrap"" at all costs. Technically, it's edible. But it's really terrible, and not even close to actual chicken. The bathroom used to be gross, but now is looking a lot better. There's black chalkboard paint on the walls, which is probably for the best. The service varies widely, but has been improving lately. There's one guy who works there who is just really cold to patrons. Some servers are rude and some are really lovely. But I almost never came back after my first time there because of bad service."
