,review,true_strong,true_weak,true_other_strong,true_other_weak,true_strong_weak,abs_true_strong_alt,abs_true_weak_alt,abs_other_strong_alt,abs_other_weak_alt,abs_true_strong_weak_alt,instruction,label,formatted_output
0,"Juju is a wonderful, peaceful, caring salon. Mark cuts my hair and he is excellent. The woman who washed my hair, Karen, was thorough and great. From the reception to the haircut, the salon is customer focused and takes precautions to ensure safety for all. There are salons that have a good stylist but then the person who washes your hair is meh. That impacts the whole customer experience. Not here. From beginning to end, fabulous. And mark is the only hair stylist my husband has gone to who gets his hair and makes it great.",,,,,,,,,,,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: Juju is a wonderful, peaceful, caring salon. Mark cuts my hair and he is excellent. The woman who washed my hair, Karen, was thorough and great. From the reception to the haircut, the salon is customer focused and takes precautions to ensure safety for all. There are salons that have a good stylist but then the person who washes your hair is meh. That impacts the whole customer experience. Not here. From beginning to end, fabulous. And mark is the only hair stylist my husband has gone to who gets his hair and makes it great."
1,"My first time here! Grace did my hair....and it's FABULOUS! (And my hair is very difficult---super long and super thick). Great atmosphere, too--modern and clean, and no snobbiness. Totally reasonable pricing! Highly recommend!",,,,,,,,,,,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: My first time here! Grace did my hair....and it's FABULOUS! (And my hair is very difficult---super long and super thick). Great atmosphere, too--modern and clean, and no snobbiness. Totally reasonable pricing! Highly recommend!"
2,"I purchased the Groupon for a cut and highlight. The highlight came out good but the cut was horrible. The hairdresser asked me what length I wanted but nothing else about the style (layers, angles, anything like that). She only cut my hair dry and never touched it up once wet. When I got home I realized one side of my hair was at least half an inch longer than the other, it was very very noticeable. 

I called the salon and they offered to fix it free of change. The owner did my cut the second time and he was wonderful, very talented and also friendly. I'm happy it was fixed but do wish I didn't have to get it fixed in the first place. 

Overall I'd suggest going to the salon but being particular about your hairdresser and don't be afraid to say exactly what you want if they don't ask.",,,,,,,,,,,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: I purchased the Groupon for a cut and highlight. The highlight came out good but the cut was horrible. The hairdresser asked me what length I wanted but nothing else about the style (layers, angles, anything like that). She only cut my hair dry and never touched it up once wet. When I got home I realized one side of my hair was at least half an inch longer than the other, it was very very noticeable. 

I called the salon and they offered to fix it free of change. The owner did my cut the second time and he was wonderful, very talented and also friendly. I'm happy it was fixed but do wish I didn't have to get it fixed in the first place. 

Overall I'd suggest going to the salon but being particular about your hairdresser and don't be afraid to say exactly what you want if they don't ask."
3,"Although I do think $20 (not including tip) is too much to pay for a 2 year old boy hair cut, I was impressed with this place. My son who normally is kicking and screaming when it comes to buzzers hesitantly sat in the firetruck and got his hair cut. It had a working pedal, sirens and he even had the choice to watch whatever on his own tv at the station. When he started to get upset they turned a bubble machine on and gave him a lollipop. Kids also have the option to pick out a balloon on the way out. The place is nicely decorated and really well thought out catering to children.","firetruck, working pedal, sirens, his own tv, bubble machine, lollipop, balloon",,,,"firetruck, working pedal, sirens, his own tv, bubble machine, lollipop, balloon","A kid sat in the firetruck and got his hair cut. It had a working pedal, sirens and he even had the choice to watch whatever on his own tv at the station.
They turns a bubble machine on and give a lollipop to the kids if they get upset.
Kids also have the option to pick out a balloon on the way out.",,,,"A kid sat in the firetruck and got his hair cut. It had a working pedal, sirens and he even had the choice to watch whatever on his own tv at the station.
They turns a bubble machine on and give a lollipop to the kids if they get upset.
Kids also have the option to pick out a balloon on the way out.","Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.","firetruck, working pedal, sirens, his own tv, bubble machine, lollipop, balloon","question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: Although I do think $20 (not including tip) is too much to pay for a 2 year old boy hair cut, I was impressed with this place. My son who normally is kicking and screaming when it comes to buzzers hesitantly sat in the firetruck and got his hair cut. It had a working pedal, sirens and he even had the choice to watch whatever on his own tv at the station. When he started to get upset they turned a bubble machine on and gave him a lollipop. Kids also have the option to pick out a balloon on the way out. The place is nicely decorated and really well thought out catering to children."
4,"This place is all new and although its something not normally associated with ""bikers"", they are making a push to bring us into their world. They've been at the last couple of events at Some Other Place including Wednesday night ""Bike Nights"". They are organizing an upcoming Sunday for bikers only. This is a day they are not normally open at all. Just give them a call and tell them what Sunday you'd be willing to give them some love. Men, your ladies will appreciate it (brownie points) and if you think they don't have anything for us, you'd be wrong. Who wouldn't benefit from a massage! When you call ask for Lenora!

https://www.facebook.com/SeasonsSpaAndSalon/?fref=ts","events, Wednesday night ""Bike Nights"", bikers",,,,"events, Wednesday night ""Bike Nights"", bikers","They'hv been at a couple of events, including Wednesday night ""Bike Nights"".
They organized a Sunday for bikers only.",,,,"They'hv been at a couple of events, including Wednesday night ""Bike Nights"".
They organized a Sunday for bikers only.","Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.","events, Wednesday night ""Bike Nights"", bikers","question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: This place is all new and although its something not normally associated with ""bikers"", they are making a push to bring us into their world. They've been at the last couple of events at Some Other Place including Wednesday night ""Bike Nights"". They are organizing an upcoming Sunday for bikers only. This is a day they are not normally open at all. Just give them a call and tell them what Sunday you'd be willing to give them some love. Men, your ladies will appreciate it (brownie points) and if you think they don't have anything for us, you'd be wrong. Who wouldn't benefit from a massage! When you call ask for Lenora!

https://www.facebook.com/SeasonsSpaAndSalon/?fref=ts"
5,"I go to blow bar to get my brows done by natalie (brow specialist) which i highly recommend she is great does a great job on my eyebrows! But then i got a blow by victoria!! Wow i was impress i have thin, straight, dead hair and she left me with the biggest volume ive ever had!!! Tried another girl but didnt like it as much so victoria will be my girl for ever; very beautiful clean place!!!",,,,,,,,,,,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: I go to blow bar to get my brows done by natalie (brow specialist) which i highly recommend she is great does a great job on my eyebrows! But then i got a blow by victoria!! Wow i was impress i have thin, straight, dead hair and she left me with the biggest volume ive ever had!!! Tried another girl but didnt like it as much so victoria will be my girl for ever; very beautiful clean place!!!"
6,"Bliss Elements salon is one of my favorite places in Delaware. Though I only like about 7 things in Delaware, this is still high praise! Here are the main highlights (in no particular order):

1. Bliss Elements is a ""green"" salon, meaning that it's owners are environmentally-conscious. I can't verify how ""green"" the salon's operations are, but they do make and sell all-natural haircare products. As I transition to natural hair, it's especially important for me to use chemical-free hair products.

2. This is Black owned and operated business; a rarity, especially in a state lacking diversity.

3. The salon's earth tone decor and wood floors create a classy, clean, and welcoming environment. I also appreciate the complimentary tea, coffee, wine, snacks, and wifi.

4. I got a few sew-in weaves there and I loved them. I brought my own hair, and LaRee sewed it in with a net. I love nets because they last longer, don't move around on your scalp, and look neater. I haven't been there in a year, but last summer sew-ins cost $135.

With all of these accolades, you're probably wondering why I only gave this salon 4 stars. Well, here it is: the manicurist/pedicurist turnover rate is insane! I see a different one each time I go there! The girls that worked there about a year and half ago were AMAZING. I can't speak to the current manicurist/pedicurist. This might not matter to some people, but I like building a rapport with the people who handle my beauty procedures.",manicurist/pedicurist,,,,manicurist/pedicurist,The salon has a manicurist/pedicurist.,,,,The salon has a manicurist/pedicurist.,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",manicurist/pedicurist,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: Bliss Elements salon is one of my favorite places in Delaware. Though I only like about 7 things in Delaware, this is still high praise! Here are the main highlights (in no particular order):

1. Bliss Elements is a ""green"" salon, meaning that it's owners are environmentally-conscious. I can't verify how ""green"" the salon's operations are, but they do make and sell all-natural haircare products. As I transition to natural hair, it's especially important for me to use chemical-free hair products.

2. This is Black owned and operated business; a rarity, especially in a state lacking diversity.

3. The salon's earth tone decor and wood floors create a classy, clean, and welcoming environment. I also appreciate the complimentary tea, coffee, wine, snacks, and wifi.

4. I got a few sew-in weaves there and I loved them. I brought my own hair, and LaRee sewed it in with a net. I love nets because they last longer, don't move around on your scalp, and look neater. I haven't been there in a year, but last summer sew-ins cost $135.

With all of these accolades, you're probably wondering why I only gave this salon 4 stars. Well, here it is: the manicurist/pedicurist turnover rate is insane! I see a different one each time I go there! The girls that worked there about a year and half ago were AMAZING. I can't speak to the current manicurist/pedicurist. This might not matter to some people, but I like building a rapport with the people who handle my beauty procedures."
7,"I only go to this hair salon for my haircuts. I've been getting my haircuts by Jason for many, many, many years. I used to live in Las Vegas & would fly to Philly to see Jason for my haircuts & see my family. Jason, the man got MAD skills & works magic with his scissors. I've NEVER leave the salon dissatisfied. My whole family only goes to him too for their haircuts. 

The wait is not so bad and if you do have to wait, it's WORTH the wait. The prices are reasonable. For female wash, cut, and style it's about $25. This is a fair amounts I would pay for my haircuts for someone like myself who have long & thick hairs. I just LOVE LOVE the way Jason layers & thin out the thickness of my hairs and make my head feel lighter. If you're looking for good hairstylist - this is THE place to go to so don't miss out.",,,,,,,,,,,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: I only go to this hair salon for my haircuts. I've been getting my haircuts by Jason for many, many, many years. I used to live in Las Vegas & would fly to Philly to see Jason for my haircuts & see my family. Jason, the man got MAD skills & works magic with his scissors. I've NEVER leave the salon dissatisfied. My whole family only goes to him too for their haircuts. 

The wait is not so bad and if you do have to wait, it's WORTH the wait. The prices are reasonable. For female wash, cut, and style it's about $25. This is a fair amounts I would pay for my haircuts for someone like myself who have long & thick hairs. I just LOVE LOVE the way Jason layers & thin out the thickness of my hairs and make my head feel lighter. If you're looking for good hairstylist - this is THE place to go to so don't miss out."
8,"Read the filtered reviews too - they are 4 and 5 for this salon! 

I've been here three times and each time was great. I typically go to small business salons, and finding Sandra is awesome. She asks what you want and is very careful in how she cuts my hair to ensure the cut and blow dry is great, taking her time to make sure the style is perfect. During each visit, she's told me about conditioning or packages that have saved me money. My husband goes to Erika and has had a good haircut each time too. The salon is festive, the stylists all talk to the customers and each other, which make customers feel welcome. Walking in without an appointment (especially trying to make an appointment at nearby salons for the same week is impossible), and paying $32 for a blow dray and cut is a bargain (again nearly $50 to 100 at nearby salons). I would show the stylists a picture or take one with your phone, so they know what you expect. My husband and I are busy professionals, so being able to walk in for a haircut is awesome.",,,,,,,,,,,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: Read the filtered reviews too - they are 4 and 5 for this salon! 

I've been here three times and each time was great. I typically go to small business salons, and finding Sandra is awesome. She asks what you want and is very careful in how she cuts my hair to ensure the cut and blow dry is great, taking her time to make sure the style is perfect. During each visit, she's told me about conditioning or packages that have saved me money. My husband goes to Erika and has had a good haircut each time too. The salon is festive, the stylists all talk to the customers and each other, which make customers feel welcome. Walking in without an appointment (especially trying to make an appointment at nearby salons for the same week is impossible), and paying $32 for a blow dray and cut is a bargain (again nearly $50 to 100 at nearby salons). I would show the stylists a picture or take one with your phone, so they know what you expect. My husband and I are busy professionals, so being able to walk in for a haircut is awesome."
9,"I am so happy that I took my son to Lil Divas and Dudes for his 1st haircut! Miss Heather was so sweet and patient and was able to handle my wiggly little dude! This children's salon is perfect for the little ones. There are two vehicles for the tots to choose from as well as toys, children's songs and television cartoons. Miss Heather specializes in children's haircuts and knows exactly how to distract the children from the noisy hair clippers and scary scissors. 

The haircut was $22, well worth it in my opinion just to avoid the tears! His haircut included a balloon and a lollipop and for $5 extra I received this adorable ""first haircut"" certificate with a lock of his hair for my baby book.","two vehicles, toys, children's songs, television cartoons, balloon, lollipop, adorable ""first haircut"" certificate",,,,"two vehicles, toys, children's songs, television cartoons, balloon, lollipop, adorable ""first haircut"" certificate","The salon has two vehicles for the tots to choose from as well as toys, children's songs and television cartoons.
The haircut includes a balloon and a lollipop.
A customer bought a ""first haircut"" certificate with a lock of kid's hair for the customer's baby book.",,,,"The salon has two vehicles for the tots to choose from as well as toys, children's songs and television cartoons.
The haircut includes a balloon and a lollipop.
A customer bought a ""first haircut"" certificate with a lock of kid's hair for the customer's baby book.","Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.","two vehicles, toys, children's songs, television cartoons, balloon, lollipop, adorable ""first haircut"" certificate","question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: I am so happy that I took my son to Lil Divas and Dudes for his 1st haircut! Miss Heather was so sweet and patient and was able to handle my wiggly little dude! This children's salon is perfect for the little ones. There are two vehicles for the tots to choose from as well as toys, children's songs and television cartoons. Miss Heather specializes in children's haircuts and knows exactly how to distract the children from the noisy hair clippers and scary scissors. 

The haircut was $22, well worth it in my opinion just to avoid the tears! His haircut included a balloon and a lollipop and for $5 extra I received this adorable ""first haircut"" certificate with a lock of his hair for my baby book."
