,precision,recall,f1,preds,labels
0,2.498,2.534,2.3649999999999998,"model: flan-t5-small
learning_rate: 5e-05
num_train_epochs: 1.0
weight_decay: 0.001
per_device_train_batch_size: 1
gradient_accumulation_steps: 8",
1,0,0,0,"['I love this place! I love the food and the service!', 'The coffee shop is a great place to go for a quick coffee. The staff is', ""I'm glad I did."", ""I'm not sure if they have a good selection of food or a good"", ""I've had gluten free biscuits at other places that are amazing - flaky and"", 'I love the atmosphere and the service.', ""I'm a fan of the food and the atmosphere."", ""I love this burger. It's a great burger."", ""I'm a fan of beer and I'm a fan of beer."", ""I love this place. It's a great place to take your kids. It'"", ""I'm not a fan of the food.""]","['None', 'Local artists, customized Carmel sportswear, greeting cards, anniversary gifts', 'ponchos', 'dock area, paddle cruise', 'None', 'lounge area, symbolism, custom associations', 'table and floor games, Jenga, big Connect 4, sand, beach umbrellas, beach volleyball, badminton', 'None', 'trivia night, fireworks', 'section, professional babysitting service, different size diapers', 'water, manatee']"
2,0,0,0,"['Service was good.', 'The food was great.', 'The karaoke was a joke.', ""I'm not a fan of Heinz ketchup, but I'"", 'The service was great. The food was great. The service was great.', 'We had a great dinner tonight.', ""I'm a fan of the sour cream and the sour cream."", 'Definitely not a good place to go for a brunch.', 'The food was delicious. The service was great.', 'The view is amazing.', 'Jockamo']","['None', 'best sounding band, female vocalist', 'karaoke venue', 'Arizona Greyhound Rescue event, hounds', 'None', 'river walk', 'None', 'None', 'Wifi, Live bands, book exchange area, community scarf/blanket project', 'Sunbathers, shore, kite surfers, jet powered surfboard surfers, dolphin spotting, overhang, open air beach view', 'None']"
3,0,0,0,"[""I'm a big fan of the sand castles and the sand"", 'a great place to eat', 'The tea house is a great place to drink tea.', ""I'm not a fan of the food, but I'm not a fan"", ""I'm sitting in here freezing and the waiter literally came and brought me a "", 'Great food and service!', 'The sushi is great, and the staff is friendly.', ""I've been to this nightclub for years and it's always great. I'"", 'Great food and service.', 'The staff was very friendly and helpful.', ""I love this place! It's a great place to go for a quick meal""]","['None', 'mini trampoline', 'on site medium, Their apothecary area', 'None', 'None', 'None', 'free calendar', 'their nightclub', 'None', 'None', 'parakeet paradise']"
4,6.06,11.11,7.84,"[""I've been to this place for years and have been impressed with the food. The service"", 'The Pop Shop is a great place to take the family for a meal.', ""I've been here twice and have been impressed with the service."", ""I'm not satisfied or pleased with the seafood pan I ordered tonight its obvious Boil Sea"", ""I'm not a fan of the Szechuan eggplant, but I'm"", 'The cats are available for adoption through the Stray Cat Alliance.', 'Great beer and great service.', 'Great food and great service.', ""I've been to the babs for years and have never had a problem with"", ""- a lil pricy (not horrible for SB) but it's"", 'Besito is a great place to go for a quick meal.']","['None', 'balloon puppets, animals', 'Philly Community Acupuncture', 'None', 'None', 'entrance fee, adoption, Stray Cat Alliance', 'board games, trivia Pursuit, small concerts', 'dance floors, photo booth, Penns Landing fireworks', 'video', 'None', 'None']"
5,3.57,3.7,3.64,"['The staff is friendly and helpful.', 'i love this place', 'Great deli.', 'I was disappointed with the quality, taste, and presentation of a lot of the food.', 'The Philly area is a great place to go for a coffee.', 'Great place to get something to eat after canoeing or kayaking for the day', ""I'm not a fan of the booze but I'm a fan"", 'Great service', ""I'm a fan of the food and service."", ""I'm a fan of the polaroid and the polaroid."", ""I'm a fan of Italian food.""]","['events, hypnosis show, drag show, karaoke night, QuizO, entertainment', 'paper studio, journals, gift tags, their candles, lip balms, local charity', 'Nice playroom', 'None', 'candy machine, watercolors, local artist, paintings', 'canoeing, kayaking, sunny fish', 'Derek St. Holmes, blues', 'audiobook', 'None', 'polaroid', 'guidebook']"
6,0,0,0,"['The food is delicious and the service is impeccable.', 'Great coffee!', ""I'm not a fan of the food, but I'm a fan of"", 'The Farm and Fisherman is a great place to eat.', 'We went to the Disneyland and it was great.', 'Great experience!', 'Bahn mi', 'Great service', ""I'm not a fan of Chinesetown, but I'm a fan of"", 'The food was delicious.', ""I'm not a fan of the food, but I'm a fan of""]","['None', 'free wifi, gardener, coffee grounds, compost', 'water, boaters, dock, your pets', 'None', 'None', ""Sparkman's Warf, virtual golf, games, zombie dodgeball, Channelside"", 'None', 'pokestops, cemetery', 'None', 'Bollywood movies, henna tattoo artist, fortune teller', 'local wildlife, anarchists, hackers, organic gardeners, activists']"
7,4.55,2.44,3.17,"['Great pizza joint!', 'a fusion of the styles with his in-laws as part of the business', ""I've been here twice and every time it was great!Food is sort of like Texas"", ""I am new in town so I don't know about drive thru policies. When I went"", '3.5/5', 'Great, but expensive. We went there twice and ate outside both times. Live music and', 'Great food', 'Urban Shabu', 'Definitely worth a visit', 'The food was delicious and the service was impeccable.', 'I was so happy I took a few hours to relax here.']","['free comic', 'DDD, Food Network', 'special event, Circus, Carnival, baby alligator, anaconda, fire, glass, other performances, live music, really good events', 'None', 'None', 'Live music, lounge area, fishies, tank', 'huge area, plants, cute indoor store, beautiful pots, candles, terrariums', 'None', 'free wifi, ping pong, shuffleboard, music venue', 'tour, estate, garden room, tour, red wine collection, cellar room, extensive collection, wine bottles, adjacent garden, open kitchen', 'yoga, henna artist']"
8,0,0,0,"['Great service. We shared a small mimosas (it was not small at all', 'Possibly the best burgers in Philly! Cannot beat Sketch for the amazing ', 'Great place to visit', ""Kelly's is your typical neighborhood gastropub that's college friendly.It has "", 'a great experience', 'Great service', 'The food is great, the service is great, and the food is great.', 'Great service', 'Great food and service', ""I've been to Baguette Deli for years and have been impressed with the quality"", 'customer service, issues from the second we walked in. Boys cooking the burgers were']","['None', 'great therapeutic sketching', 'Good Burger Car, souvenir T-shirts, hats,""HI AF"" shirt', 'None', 'amazing tour de bier, history lesson', 'garden, art, gift shop, cute wallet, shawl, necklace', 'beautiful garden, hummingbirds, songbirds', 'stand-up comic', 'Indy 500 photos and collectibles, mini museum', 'None', 'None']"
9,4.55,4.76,4.65,"['coffee shops', 'La Colombe', 'I would expect the high-end look of the Fat Straw, along with its prime location', 'Great sushi!', 'The open forum of this restaurant really creates this Sunday afternoon atmosphere. I feel like butterflies should', 'The food was not at all filling and the scones were like hokey pucks', 'Great service!', 'Great view of gators in a pond/bayou partition.', 'upper deck', 'great food', 'RAT']","['used books, Basics of Mechanical Engineering, A Guide on Planetary Leadership, internet', 'his own skating company, awesome skateboard deck', 'None', 'None', 'bookstore/gift shop', 'None', 'None', 'gators, airboat ride', 'life size beer pong, pool table, arcade games, nfl blitz 99, madden 15', 'outreach program, meal sponsorship program', 'None']"
